gene,wt_signed_log_p,ko_signed_log_p
Vav2,0.882147193934159,1.08722255348029
Col3a1,0.730003056815884,0
Fgfr1,0.490423087766162,-0.0438613526635499
S100a4,0.431488329433793,0
Thbd,0.431488329433793,0
Vegfa,0.410670212950156,-0.13943836051743
Timp1,0.225347131020272,-0.698534228575058
Lrpap1,0.159415513386577,0.375951455821007
Pdgfa,0.1170040819912,-0.0778362706914259
Apoh,0,0
Ccnd2,0,-0.300869981487719
Col5a2,0,0
Cxcl5,0,0
Fstl1,0,-0.300869981487719
Kcnj8,0,0
Lum,0,0
Nrp1,0,0
Olr1,0,0
Pf4,0,-0.300869981487719
Pglyrp1,0,-0.698534228575058
Postn,0,0
Prg2,0,0
Serpina5,0,0
Slco2a1,0,-0.300869981487719
Vcan,0,-0.300869981487719
Jag1,-0.0294677821178341,-0.698534228575058
Ptk2,-0.146007827235363,0.26190476787414
Itgav,-0.164619686713046,0.510283474845757
Jag2,-0.191276798333449,-0.122668781114834
Tnfrsf21,-0.19596741052051,0.71542642885164
Lpl,-0.325852329438599,0
Vtn,-0.401076212405387,-0.710540385372022
Spp1,-0.499435184341675,-0.698534228575058
Stc1,-0.499435184341675,0
Msx1,-0.85151044206905,0
App,-2.52237256851835,-0.238613861643124
