gene,wt_signed_log_p,ko_signed_log_p
Edn2,108.136506754005,32.6924158068696
Fgf2,106.312093009536,29.0468097648958
Agrn,75.0709958462994,20.3034069891435
Stat3,54.5648560813881,22.5726484233108
Gadd45b,45.5188005718036,12.1414318132594
Pbxip1,44.080228071827,15.3046158435499
Ptp4a3,37.8758364885073,5.47805122787845
Notch1,29.7534115185207,10.640972234103
Il6st,21.8551026042,6.46388723792187
Jak3,19.4288785497187,5.98596175233894
Igsf11,14.7698647602657,4.54496425168845
Acvr2b,14.5338719753115,1.62266705286093
Atf3,14.0000347932115,4.6556650242393
Clu,12.6399716500266,1.91472347994779
Tnip2,12.4747509229412,7.19067687240546
Vegfa,11.9709743729025,4.89465191120146
Lsm14a,11.4824339137626,1.46307176123912
Flot1,9.30385409158557,4.10986608095461
Scube1,9.25147104315617,4.21869560308081
Pros1,8.97477981223009,1.59776443528611
Flot2,8.68995249961801,1.56168648711144
Fn1,7.59988045739175,1.1093903261361
Ubr5,7.21778308359881,0.380435901830202
Prag1,6.88100182978513,3.23833299005084
Irf7,6.72167786517166,3.41338900757994
Ltbr,6.6793920979722,1.19459846358845
Map3k1,6.61816031347652,6.67706134203893
Pde8b,5.7301671702048,0.516690493056391
Dok7,5.65977868312239,0.84919387564942
Mif,5.60571875798598,0.533826251873914
Ntrk1,5.13453540749974,1.78781598559902
Tgm2,4.74836041991965,1.18497072961986
Lamtor5,4.5521003919927,0.466517011552077
Cd63,4.52935048106244,1.55289410746673
Rtkn2,4.38633711563778,0.195526504467824
Rock2,4.16058514238128,9.26369616076783
Jun,4.11309406996727,4.07169779845776
Igfbp3,3.79540399703819,-0.163585916847882
Map4k4,3.57868263659882,1.75194759657071
Mmp2,3.51794012865112,-0.865993365893332
Drd4,3.44695731637384,0.537629661701019
Pik3ap1,3.30324338906484,1.11756917346893
Usp46,3.12618906807277,0.155018089954002
Ppard,3.12036314205542,0.415135784026063
Shkbp1,2.97515812154273,0.315268442552443
Ddx5,2.93632451257267,0.299945586867047
Spag9,2.89586667217918,0.4120059828084
Stk19,2.87584429082348,2.71674595386708
Prkce,2.72080987798911,0.0687083667939086
Flt1,2.56421057578538,-0.952236466070751
Tnfrsf1a,2.47895860797317,0.0975338095090256
Rundc3a,2.36543837302885,2.89759512993353
Lyn,2.21813858954712,0.976019797221529
Cdh2,2.15385132655891,2.58867659745377
Chga,2.13113430028839,0.24564969172192
Tirap,2.10301456965572,0.751080759679302
Eng,2.08334868384988,0.460050451289281
Dhh,2.06837946595869,1.36969050774006
Ptpn2,2.04362720866198,0.166883495040216
Afdn,1.9653127380038,0.388118394593201
Serinc3,1.93672131851639,1.06776741321539
Knl1,1.93510642694391,-0.052313748780831
Akt2,1.8887887200049,-0.905543753792062
Gadd45g,1.87161595201038,0.185369735388298
Fcgr2b,1.83343802839605,-1.29617974427927
Arrb1,1.80174996110509,0.286873240341461
Litaf,1.79447514033719,0.555513685429582
Sema5a,1.75141518044174,-0.80486809436181
Sulf1,1.74720612679612,-0.144105242075794
Irgm1,1.74701406394875,0.30194768644734
Pih1d1,1.69966043618906,2.1632953625599
Map4k2,1.6841809225392,0.0616480172128722
Igf1r,1.68164449384581,1.6503213221725
Cacnb3,1.66323525716975,0.455335498357116
Gen1,1.65750475814491,0.0637234842181552
Trim25,1.63937264916179,0.883174065301454
Styxl1,1.63670657869391,0.036935265819693
Zmiz1,1.63409061043144,-1.25084682492985
Jag2,1.62945533529297,4.99512875218726
Phip,1.62755459039688,0.61762511377571
Jund,1.62291743300709,0.371989813721397
Unc13a,1.59678428887316,-0.298084372948776
Laptm5,1.58387148762357,-0.530086478675138
Nupr1,1.57986069729155,-0.192170189622431
Auts2,1.56921783994667,-2.38028309357236
Stx1a,1.53173488354571,0.67843852899405
Tmod2,1.5150493618313,-1.17387566750785
Esm1,1.50258746391615,-0.158499895342161
Zc3h12a,1.46834180419743,0.629841635837466
Gpnmb,1.45185723039352,-2.81740480328689
Tlr2,1.42575141110725,-0.622651952410866
Rragd,1.39980642717669,0.18891298391152
Ralb,1.37694139674456,0.551381820558092
Ripk1,1.36160688042179,1.40253028120408
Prkd2,1.35558462236883,-0.0753824963692568
Traf3ip2,1.34810575688649,0.725368898563999
Sik3,1.33967270934883,0.513812543625902
Gper1,1.33336236804938,0.829916215417754
Myc,1.33336236804938,0.580028614166094
Plaur,1.33336236804938,-0.622132338020589
Tmem100,1.33336236804938,-0.777364330577808
Trem2,1.33336236804938,0
Irs1,1.27199196795795,1.08383889415424
Nmi,1.26566162423343,-0.0128469058494322
S100a13,1.25932139030999,0.315384934882767
Myh9,1.24296887030757,0.35016348468174
Rasgef1a,1.23020501203094,2.13666563916984
S100a8,1.21197030073652,0.652586400435338
Cux2,1.20759946507522,0.589619367263798
Rela,1.1946546912623,0.524401455333004
Irak4,1.19266126835953,-0.0444790988714314
Ager,1.17752473742225,0.250356242878625
Caprin2,1.16992074356749,0.219721499072027
Rbck1,1.16596446837954,0.799330816486636
Fer,1.16116922548092,1.17538765095864
Il10ra,1.16055810592419,0.677155024855202
P2rx7,1.16055810592419,0
Cxcr4,1.14612085040739,-0.125257932005659
Il1b,1.14317244681483,-0.598872336948684
Igfbp5,1.1417883286162,-1.30973080120768
Dlg5,1.13548125966751,-0.108425544433304
Acvr1,1.13443383627512,0.281028960363462
Nr3c2,1.12315354864378,0.251644455531527
Cdh3,1.09109911329318,0.239306404087924
Myd88,1.08855550505459,0.813691081379499
Trim8,1.08619590783314,1.63067037984876
Ppp2r5b,1.08153382981953,0.101073424475442
Prok1,1.07637532542018,0.17118431972941
Ulk3,1.07535376958872,0.132299279308801
Jrk,1.07398638324558,-0.0641906408378354
Pdgfb,1.07008070474592,0.580028614166094
Gas1,1.06982319778087,-0.432370767882213
Prnp,1.04188021382127,-0.972531778513178
Mapk8ip3,1.04071791728274,0.591118677992878
Gorab,1.03860615989321,0.531681429780633
Clec16a,1.03281303237309,-0.483819232234087
Tyro3,1.00408205075072,1.07874685467542
Daam2,0.993245140674287,-0.743618571176258
Cmtm3,0.992097460418983,0.238178045531928
Arhgef5,0.982835330505041,0.159073565903789
Cd180,0.982835330505041,0.677155024855202
Cd4,0.982835330505041,0
Fgf5,0.982835330505041,0.159073565903789
Ptprc,0.982835330505041,0.677155024855202
Tpr,0.972241710918916,1.34346143110842
Prkcd,0.956349249101713,0.336403895078434
Usp27x,0.941573571693275,-0.377179792966937
Cd84,0.940545704699912,-0.327993190309052
Psap,0.939588588712356,0.571885606917751
Ackr3,0.939176021542995,0.829916215417754
App,0.938224599185002,-0.583805184095199
Edn3,0.929760570522621,-0.456468323107159
Npy,0.928266743913832,-1.50065709482113
Dok4,0.922550759203351,0.112517288454778
Pak1,0.92209292075468,0.427185831010596
Abl1,0.908582665936893,0.16957390024973
Fzd7,0.897267025124724,-1.75555749080366
Crlf2,0.885634645677665,1.18702180502328
Parp1,0.88450531362712,0.306387000171722
Nectin2,0.883657293918041,1.59756086411603
Xbp1,0.87751747226064,0.0129085139544274
Map2k3,0.871163276587424,1.53808501893294
Tradd,0.870020101241067,-0.358218610804878
Mid2,0.867866480384293,-1.07168523552235
Gucy1a2,0.862443230689346,-0.861476854172359
Ddr2,0.845624646391348,-0.158213239078307
Nckap1l,0.845068003422245,0.976019797221529
Agr2,0.843955215029373,0.018743278579667
Myoc,0.843121059042817,-0.197572870324407
Trim44,0.841324565048605,-0.173421772804065
Gpr137,0.830934703511345,0.218349608590651
Prkn,0.823881042450359,-0.796505731510499
Braf,0.821967406094485,0.147277371235038
Eda,0.797883513500315,-0.622651952410866
Gbp2,0.797883513500315,-1.29617974427927
Gbp5,0.797883513500315,-0.192722647936916
Lepr,0.797883513500315,-0.0128469058494322
Nos1,0.797883513500315,-1.29617974427927
Tlr7,0.797883513500315,-0.327993190309052
Tnfsf10,0.797883513500315,0.677155024855202
Vav3,0.797883513500315,0.513544008486567
Prkra,0.791879386977129,0.545640335918607
Tspan14,0.788113540764361,-0.621535485484928
Ppp3ca,0.78372558475035,1.0327374441855
Lin28a,0.780166813965558,-0.26603992341953
Ddr1,0.777898320938268,0.00110851001404668
Ptgis,0.775675312452463,-0.0516651005777913
Itsn1,0.773812312043575,-0.253316726742146
Mfhas1,0.769403535235777,0.0892809812373116
Ptk2,0.764907140281648,-0.811603671347999
Bbc3,0.764340053571501,1.01740667199335
Nagk,0.758813470500521,-0.52236133548886
Dll4,0.750452235902181,-0.288124293185396
Fgfr1,0.747123895976572,-0.132061172266261
Stk4,0.745249201124148,-0.756131052348964
Becn1,0.741383119864929,-0.0299121368375999
Rab34,0.738851646507648,-0.445737649085047
Rell1,0.727865808314576,2.78037729671602
Ifi35,0.722036250932627,-1.77951532594553
Map2k4,0.720396116795489,0.133297244392972
Slc39a14,0.705287897895861,-0.95482464614307
C3,0.69879990750735,-0.292710496841786
Il1a,0.696923377515322,0.301334377361299
Rassf2,0.696923377515322,-0.0183771893135191
Prrx1,0.696387628296327,-0.102555196848521
Csf1,0.69531666603951,1.39146005420322
Cdkn1c,0.691052484881896,0.0903841390925553
Bnip2,0.676976315821896,0.331690393021095
Nacc2,0.667903341601117,0.0983500512416634
Ece1,0.667822890767018,-0.464091704073672
Sorl1,0.663592275082136,-0.823533371497078
Foxd1,0.662821982865406,0.677155024855202
Fgr,0.661442325220171,-0.453381298512636
Vsir,0.661442325220171,0.71534271943468
Bmyc,0.654948523629599,-0.843970138353413
Itgb1,0.653883041258729,0.0555403426543232
Wwox,0.651081487094726,0.102649280457752
Lamtor2,0.649959225221473,0.170083319265563
Hpx,0.647275379324141,-0.630525529544577
Spatc1l,0.6461882248844,-0.0934076997762177
Ccl3,0.645866057366053,-0.102320157500871
Pdpk1,0.644732061054119,-0.216528589014516
Pin1,0.644261334148246,0.17418874435381
Lat,0.644222324620414,-0.678679311293245
Cdca8,0.64340611953718,0.335096940506345
Cdh5,0.635889902178682,0.337548904994402
Ngly1,0.62307902726297,0.105672191611126
Wwc1,0.621021129891456,-0.151050942826828
Ctsc,0.619186360575262,-0.466823787803195
