,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Cdh5,0,11.0634645541601,0.987,0.002,0,0.985
Adgrf5,0,10.5390557949866,0.983,0.002,0,0.981
Eng,0,8.2677693090077,1,0.021,0,0.979
Esam,0,8.70544978818852,0.985,0.006,0,0.979
Pecam1,0,8.86431155526282,0.985,0.007,0,0.978
Cd93,0,10.0966361475994,0.978,0.004,0,0.974
Egfl7,0,11.2343207617215,0.974,0.002,0,0.972
Adgrl4,0,18.2925350218986,0.972,0,0,0.972
Rasip1,0,10.9001931258523,0.967,0.001,0,0.966
Cd34,0,6.34536406803339,0.991,0.027,0,0.964
Hspg2,0,6.94804278423009,0.983,0.023,0,0.96
Cldn5,0,16.085048583341,0.948,0,0,0.948
Col4a1,0,6.62138433225176,0.972,0.025,0,0.947
Ptprb,0,14.5509931311574,0.945,0,0,0.945
Tie1,0,10.106846888227,0.937,0.002,0,0.935
Flt1,0,6.27085180670233,0.967,0.032,0,0.935
Plxnd1,0,7.2659460889481,0.945,0.019,0,0.926
Col4a2,0,6.69845046239995,0.945,0.029,0,0.916
Tm4sf1,0,7.20738876299007,0.926,0.011,0,0.915
Ets1,0,5.55090593027242,0.926,0.026,0,0.9
Ramp2,0,5.65987892630216,0.932,0.046,0,0.886
Anxa3,0,4.34159189448874,0.926,0.044,0,0.882
Ly6e,0,4.68513389828572,0.928,0.056,0,0.872
Sox18,0,13.4168875133355,0.871,0,0,0.871
Ctla2a,0,11.0147720056385,0.869,0.001,0,0.868
Acvrl1,0,6.93647733468434,0.878,0.013,0,0.865
Msn,0,4.18132242242973,0.963,0.098,0,0.865
Emcn,0,7.40309443604507,0.873,0.01,0,0.863
Kdr,0,4.83354032350496,0.895,0.035,0,0.86
Vim,0,4.29028904833142,0.95,0.095,0,0.855
Rhob,0,3.37640970807181,0.93,0.076,0,0.854
F11r,0,4.63137168953522,0.888,0.037,0,0.851
Clic4,0,4.93801074786226,0.895,0.045,0,0.85
Ece1,0,5.27206774591848,0.878,0.032,0,0.846
Clec14a,0,11.1065366423477,0.838,0.001,0,0.837
Fli1,0,5.65304008761754,0.864,0.03,0,0.834
Tpm4,0,5.01187700191396,0.88,0.048,0,0.832
Rbpms,0,5.4286410632621,0.856,0.026,0,0.83
Serpinh1,0,3.97082306393385,0.952,0.124,0,0.828
Shank3,0,7.62428109463612,0.834,0.007,0,0.827
Nid1,0,5.06084434103996,0.836,0.02,0,0.816
Itga6,0,4.7657783526286,0.862,0.052,0,0.81
Jup,0,5.7119356525838,0.836,0.031,0,0.805
S1pr1,0,5.29447610942147,0.831,0.029,0,0.802
Ehd2,0,5.80151466982114,0.823,0.022,0,0.801
Mcam,0,5.91604832472367,0.81,0.011,0,0.799
Tspan18,0,5.70422679940005,0.82,0.021,0,0.799
Kank3,0,7.20639406906494,0.805,0.008,0,0.797
Cavin1,0,5.53468365814133,0.816,0.023,0,0.793
Gng11,0,6.58110138310167,0.803,0.013,0,0.79
Itgb1,0,4.13270495416916,0.897,0.107,0,0.79
Tagln2,0,4.62119486085566,0.829,0.044,0,0.785
Abcb1a,0,11.1168309767996,0.781,0.001,0,0.78
Igfbp7,0,5.24371899277542,0.917,0.137,0,0.78
Tsc22d1,0,4.24566440687377,0.952,0.173,0,0.779
Pcdh1,0,6.01553087650287,0.796,0.02,0,0.776
Rgs3,0,5.28994903903904,0.807,0.032,0,0.775
Ptprm,0,5.41804477751104,0.803,0.031,0,0.772
Cd200,0,6.47034130571655,0.785,0.016,0,0.769
Ahnak,0,3.75537451772562,0.814,0.045,0,0.769
Icam2,0,8.62054928664659,0.768,0.003,0,0.765
Igfbp4,0,2.99597726730502,0.807,0.043,0,0.764
Slc9a3r2,0,7.48673932289666,0.77,0.01,0,0.76
Sparc,0,3.49481494812757,0.996,0.238,0,0.758
Ecscr,0,6.60369990319489,0.768,0.011,0,0.757
Flnb,0,5.46501753482108,0.786,0.033,0,0.753
Tgfbr2,0,3.87801682678053,0.805,0.054,0,0.751
Anxa2,0,4.15873451997005,0.812,0.063,0,0.749
Lmo2,0,5.75933212676183,0.773,0.024,0,0.749
Id3,0,3.87962003903542,0.825,0.079,0,0.746
