,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Reep6,0,1.83557421178124,0.907,0.45,0,0.457
Gnb1,0,2.18590541600373,0.998,0.554,0,0.444
Gngt1,0,2.12347624357907,0.996,0.558,0,0.438
Rcvrn,0,2.17757210689191,0.999,0.567,0,0.432
Slc17a7,0,1.87407871394362,0.985,0.562,0,0.423
Rs1,0,1.73633457029451,0.956,0.534,0,0.422
Nrl,0,1.61915074951852,0.966,0.551,0,0.415
Rho,0,2.33700087851968,1,0.587,0,0.413
Pde6g,0,2.33134942632001,0.999,0.586,0,0.413
Rom1,0,2.00447753303835,0.999,0.589,0,0.41
Pdc,0,1.70518030123047,0.998,0.597,0,0.401
Gnat1,0,2.39888374563234,1,0.599,0,0.401
Rbp3,0,2.11779368515833,0.999,0.603,0,0.396
Tma7,0,1.86099310456782,0.957,0.562,0,0.395
Guca1b,0,1.46749591667589,0.923,0.53,0,0.393
Impdh1,0,1.72900964847402,0.861,0.469,0,0.392
Unc119,0,1.74789237595592,0.98,0.59,0,0.39
Zfp385a,0,1.92226536403306,0.82,0.431,0,0.389
Fam57b,0,1.49537106939199,0.958,0.57,0,0.388
Atp1a3,0,1.76371501885312,0.873,0.489,0,0.384
Prph2,0,1.60366856179966,0.997,0.613,0,0.384
Cplx4,0,1.48972537466632,0.828,0.453,0,0.375
Mgarp,0,1.34535055760066,0.836,0.466,0,0.37
Tulp1,0,1.27830557087907,0.917,0.554,0,0.363
Vtn,0,1.70487468799456,0.733,0.374,0,0.359
Smim40,0,2.01461390325717,0.618,0.26,0,0.358
Cdhr1,0,1.60279774665999,0.777,0.421,0,0.356
Pde6b,0,0.840115933127341,0.961,0.617,0,0.344
Cpe,0,1.78431999390111,0.863,0.526,0,0.337
Map1b,0,1.46987613630608,0.774,0.444,0,0.33
Snap25,0,1.51577069674207,0.77,0.442,0,0.328
Clstn1,0,1.78244213223051,0.907,0.58,0,0.327
Impg1,0,1.4954461134223,0.744,0.42,0,0.324
Aipl1,0,1.07444783355833,0.863,0.54,0,0.323
Nr2e3,0,0.963195954706279,0.851,0.529,0,0.322
Vopp1,0,1.4786263973358,0.723,0.403,0,0.32
Arl3,0,1.70276891330295,0.697,0.383,0,0.314
Guk1,0,1.74369578838204,0.644,0.331,0,0.313
Cngb1,0,1.04686184246674,0.855,0.546,0,0.309
Stxbp1,0,1.32463956477002,0.827,0.52,0,0.307
Pkm,0,1.59553739881341,0.8,0.495,0,0.305
Slc24a1,0,1.61808022706954,0.961,0.658,0,0.303
Elovl4,0,1.30535618042306,0.74,0.443,0,0.297
Plekhb1,0,1.10437105152764,0.829,0.561,0,0.268
Purb,0,1.60146087232066,0.641,0.374,0,0.267
Anp32e,0,1.43338651538323,0.735,0.468,0,0.267
Rtbdn,0,1.38671796395472,0.589,0.327,0,0.262
Hk1,0,1.30232332495579,0.753,0.492,0,0.261
Adipor1,0,1.42787207666326,0.819,0.562,0,0.257
Hmgn1,0,1.57155549030554,0.521,0.266,0,0.255
Kcnb1,0,1.32403559643795,0.601,0.35,0,0.251
Syp,0,1.31526450326094,0.62,0.371,0,0.249
Cds1,0,1.52801815547846,0.505,0.263,0,0.242
Ndrg3,0,1.17793708456773,0.654,0.413,0,0.241
Prcd,0,1.39630809507812,0.598,0.358,0,0.24
Pgam1,0,1.64582712512208,0.473,0.234,0,0.239
Ptms,0,1.41473305650341,0.75,0.512,0,0.238
Stx3,0,1.2375957723633,0.648,0.413,0,0.235
Vamp2,0,1.41477712109007,0.585,0.35,0,0.235
Ndufa4,0,1.54881777405409,0.522,0.29,0,0.232
Prom1,0,0.951145550394599,0.708,0.481,0,0.227
Tspan7,0,1.32946451794966,0.695,0.468,0,0.227
Hsp90aa1,0,1.16531641212247,0.783,0.558,0,0.225
Cnga1,0,1.03546634027697,0.628,0.407,0,0.221
Ybx3,0,1.08017832783704,0.718,0.498,0,0.22
Slc6a6,0,1.17942546606596,0.806,0.59,0,0.216
Atp1b2,0,1.22382306471899,0.962,0.746,0,0.216
Egflam,0,1.16702673354878,0.585,0.373,0,0.212
Fam3c,0,1.30469752714168,0.547,0.336,0,0.211
Ebpl,0,1.19277181511616,0.564,0.353,0,0.211
Ssu72,0,1.36125257577979,0.556,0.346,0,0.21
Agpat3,0,0.896292821521856,0.839,0.629,0,0.21
Cst3,5.20028456223955e-276,-0.923583151306528,0.909,0.703,8.55238799105917e-272,0.206
Car2,0,0.923754809805682,0.513,0.309,0,0.204
