,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Ttr,0,10.041097258994,0.999,0.006,0,0.993
Ptgds,0,8.58355162630472,1,0.014,0,0.986
Dct,0,5.81063804086642,0.991,0.012,0,0.979
Col8a1,0,7.45651739820019,0.983,0.02,0,0.963
Rgr,0,9.75522878382558,0.965,0.005,0,0.96
Rbp1,0,7.23911841294189,0.983,0.038,0,0.945
Clu,0,5.84141511647762,0.999,0.061,0,0.938
Trf,0,7.68752403702084,0.982,0.045,0,0.937
Itgb8,0,7.37027029656512,0.952,0.024,0,0.928
Rdh5,0,9.4963549525011,0.929,0.004,0,0.925
Mfrp,0,8.81635113186846,0.923,0.005,0,0.918
Timp3,0,4.98807145049901,0.979,0.063,0,0.916
Atp1b1,0,6.28428442950513,0.944,0.031,0,0.913
Car14,0,5.03345892729634,0.954,0.043,0,0.911
Stra6,0,9.16012304111534,0.907,0.004,0,0.903
Col9a3,0,6.63921837629307,0.932,0.03,0,0.902
Rpe65,0,9.62980596539259,0.896,0.004,0,0.892
Rlbp1,0,4.69488735270276,0.944,0.052,0,0.892
Gja1,0,6.93896209497634,0.905,0.015,0,0.89
Apoe,0,2.57030224833785,0.998,0.11,0,0.888
Thbs1,0,4.50877783630396,0.915,0.032,0,0.883
Abhd2,0,6.39464507509489,0.915,0.035,0,0.88
Mt1,0,5.16232536734109,0.956,0.078,0,0.878
Cltrn,0,9.32716811585299,0.88,0.003,0,0.877
Pltp,0,6.44065598504087,0.892,0.019,0,0.873
Cpxm2,0,8.71877227185665,0.868,0.005,0,0.863
Rdh10,0,5.20083561267795,0.94,0.079,0,0.861
Slc1a1,0,7.1389787049972,0.866,0.017,0,0.849
Col8a2,0,6.58165308699011,0.853,0.014,0,0.839
Tmem98,0,7.38335312316746,0.845,0.015,0,0.83
Mt2,0,4.78357216110373,0.867,0.047,0,0.82
App,0,4.49734490560078,0.932,0.114,0,0.818
Ctsd,0,3.93651497636099,0.94,0.124,0,0.816
Enpp2,0,7.72780526338464,0.838,0.022,0,0.816
Cfh,0,5.24117621624291,0.858,0.043,0,0.815
Tyr,0,6.40144023682094,0.815,0.006,0,0.809
A2m,0,7.22310067008628,0.813,0.01,0,0.803
Slc4a5,0,5.67293970339978,0.845,0.043,0,0.802
Sema3c,0,6.47048124794137,0.804,0.011,0,0.793
Degs1,0,5.1481938298132,0.862,0.07,0,0.792
Col18a1,0,5.02210490689371,0.82,0.029,0,0.791
Sparc,0,1.85001314834615,0.901,0.121,0,0.78
Gpc3,0,4.26809941907656,0.809,0.031,0,0.778
Psap,0,3.97823054262257,0.965,0.19,0,0.775
Lrat,0,9.45559415103584,0.77,0.002,0,0.768
Car12,0,9.02247380646581,0.77,0.003,0,0.767
Tmem56,0,7.66305355801787,0.774,0.009,0,0.765
Gpnmb,0,4.64168148793535,0.772,0.011,0,0.761
Lrp1,0,3.94614581402269,0.848,0.092,0,0.756
Clic6,0,8.36245788656707,0.75,0.005,0,0.745
Slc16a8,0,8.71859455988059,0.747,0.003,0,0.744
Tyrp1,0,3.70478017591029,0.748,0.008,0,0.74
Wls,0,5.60907647668357,0.768,0.032,0,0.736
Crim1,0,5.49137946313188,0.767,0.032,0,0.735
Spon1,0,4.23057869464816,0.777,0.043,0,0.734
Slc16a9,0,7.34112182464189,0.737,0.01,0,0.727
Arl6ip1,0,4.07799546418323,0.862,0.142,0,0.72
Itgav,0,4.41429088997006,0.779,0.062,0,0.717
Bsg,0,3.58097271352489,0.926,0.211,0,0.715
Mt3,0,6.1780571546337,0.734,0.021,0,0.713
Slc2a1,0,3.53966435002775,0.934,0.23,0,0.704
Tspan10,0,6.94265199046517,0.705,0.006,0,0.699
Cd63,0,3.61012818334132,0.791,0.094,0,0.697
Slc6a20a,0,9.04414030652438,0.687,0.002,0,0.685
Sgk1,0,3.9264848850482,0.753,0.07,0,0.683
Cdh3,0,8.94375572288589,0.685,0.003,0,0.682
Pdpn,0,3.76122850233575,0.727,0.052,0,0.675
Igfbp7,0,2.08291190472484,0.706,0.038,0,0.668
Cspg5,0,3.5168065855293,0.82,0.158,0,0.662
Nt5dc2,0,5.57716545858576,0.686,0.026,0,0.66
Cd82,0,4.50709468850776,0.707,0.049,0,0.658
Slc24a5,0,5.12142413203278,0.662,0.006,0,0.656
Met,0,6.63959545572488,0.66,0.007,0,0.653
Inpp5k,0,4.42444244189789,0.725,0.072,0,0.653
Slc22a8,0,8.54487623883321,0.655,0.003,0,0.652
Gpm6a,0,2.60464543774088,0.718,0.072,0,0.646
Tbc1d1,0,6.34523381371411,0.659,0.016,0,0.643
Cldn1,0,7.94008665667652,0.637,0.004,0,0.633
Mfap3l,0,3.89716000531571,0.716,0.084,0,0.632
Prxl2a,0,3.57134684114135,0.752,0.121,0,0.631
Krt18,0,4.10174413683528,0.708,0.079,0,0.629
