,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Ctss,0,10.9675523416164,0.98,0.005,0,0.975
Laptm5,0,7.50251752979724,0.972,0.012,0,0.96
Tyrobp,0,6.87438118571319,0.964,0.007,0,0.957
Fcer1g,0,7.44008305167114,0.947,0.015,0,0.932
Mpeg1,0,9.61423741686223,0.913,0.003,0,0.91
Cd53,0,6.33458128655854,0.899,0.012,0,0.887
Unc93b1,0,7.65965766817948,0.885,0.01,0,0.875
Csf1r,0,6.44897029784122,0.924,0.058,0,0.866
Kctd12,0,6.81177304031507,0.874,0.026,0,0.848
Hexb,0,8.16692025000633,0.88,0.039,0,0.841
Plek,0,6.16082619955931,0.86,0.022,0,0.838
Selenop,0,5.81065558622638,0.893,0.056,0,0.837
Pld4,0,9.25008033477432,0.826,0.002,0,0.824
Ctsz,0,5.17058221360161,0.92,0.097,0,0.823
Ly86,0,10.089860314142,0.824,0.002,0,0.822
Itgam,0,8.0103723462722,0.822,0.005,0,0.817
Ly6e,0,5.27328578352613,0.841,0.026,0,0.815
C1qb,0,13.7534588427039,0.814,0,0,0.814
Fcgr3,0,8.5790278502888,0.81,0.003,0,0.807
Cd68,0,7.75083833177362,0.815,0.009,0,0.806
Lyn,0,6.5358017011533,0.818,0.013,0,0.805
Coro1a,0,5.52815537129183,0.818,0.014,0,0.804
C1qa,0,13.0888571597096,0.802,0,0,0.802
Vsir,0,6.97834207552471,0.814,0.013,0,0.801
Slc15a3,0,8.24498973202605,0.805,0.005,0,0.8
Ctsh,0,5.36660546123171,0.835,0.039,0,0.796
B2m,0,4.84191065076709,0.859,0.064,0,0.795
Ucp2,0,3.77227439122876,0.92,0.13,0,0.79
Msn,0,4.25656857781275,0.859,0.069,0,0.79
Grn,0,5.10607882278848,0.882,0.097,0,0.785
Nckap1l,0,7.36923929417958,0.785,0.007,0,0.778
Ncf2,0,6.45492209699111,0.786,0.009,0,0.777
Inpp5d,0,7.18616644755285,0.785,0.009,0,0.776
