,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Snhg11,0,7.01231625240652,0.651,0.01,0,0.641
Eef1a2,0,4.49267757457835,0.653,0.027,0,0.626
Pax6,0,4.12759157241953,0.568,0.042,0,0.526
Atp1b1,0,1.04886549210326,0.69,0.165,0,0.525
Cadm3,0,3.68314187679938,0.602,0.089,0,0.513
Nrxn2,0,5.99410294619904,0.514,0.015,0,0.499
Snrpn,0,3.18978208423107,0.59,0.097,0,0.493
Sncb,0,2.17503090496604,0.764,0.283,0,0.481
Ywhag,0,2.6453115866694,0.627,0.147,0,0.48
Nefl,0,5.01012241054922,0.481,0.018,0,0.463
Pfkp,0,1.65632214273753,0.775,0.314,0,0.461
Cabp1,0,5.6250433145041,0.471,0.013,0,0.458
Auts2,0,3.38019922850801,0.5,0.045,0,0.455
Ndrg4,0,5.89185824851134,0.468,0.015,0,0.453
Nap1l5,0,3.05963592845135,0.517,0.068,0,0.449
Pcsk1n,0,2.34693210970638,0.597,0.15,0,0.447
Ank3,0,2.2833809473911,0.59,0.154,0,0.436
Podxl2,0,2.1283890715442,0.63,0.201,0,0.429
Gprasp1,0,2.7726963725733,0.522,0.102,0,0.42
Rnf187,0,2.36450301282023,0.589,0.17,0,0.419
Ackr1,0,3.98278442678712,0.46,0.043,0,0.417
Cplx3,0,3.24248326447119,0.531,0.116,0,0.415
Tagln3,0,4.72267347761871,0.435,0.021,0,0.414
Gnao1,0,1.60384699568609,0.545,0.135,0,0.41
Pcp4,0,3.46225792447679,0.428,0.019,0,0.409
Clip3,0,3.25852914691554,0.474,0.067,0,0.407
Cadps,0,3.54138506827989,0.431,0.026,0,0.405
Klc1,0,1.95842587686377,0.594,0.191,0,0.403
Adgrb1,0,5.80921963720084,0.411,0.009,0,0.402
Elavl3,0,7.34899759573842,0.404,0.003,0,0.401
Crmp1,0,4.12504703610833,0.422,0.022,0,0.4
Gpr162,0,2.17511401294183,0.535,0.138,0,0.397
Dpysl2,0,2.59164918448114,0.523,0.126,0,0.397
Gria2,0,5.11344961178358,0.407,0.015,0,0.392
Kif5c,0,4.30980247803945,0.412,0.024,0,0.388
Tubb2a,0,3.11339621638901,0.453,0.067,0,0.386
Pnmal2,0,4.74156372384964,0.406,0.022,0,0.384
Ndn,0,2.49018956903438,0.492,0.108,0,0.384
Sv2a,0,3.1947417104881,0.461,0.078,0,0.383
Rundc3a,0,2.04777525282657,0.523,0.14,0,0.383
Stx1b,0,5.84860723005099,0.389,0.009,0,0.38
Ptprs,7.42120097781474e-275,1.72042917298162,0.553,0.175,1.22049071281141e-270,0.378
Pcbp3,2.36619425688769e-211,1.19549283216122,0.782,0.405,3.8914430748775e-207,0.377
Map4,3.86946468607114e-235,1.32631475824032,0.597,0.221,6.3637216227126e-231,0.376
Synpr,0,3.23585597304204,0.413,0.039,0,0.374
Tubb4a,0,3.99728635666526,0.401,0.03,0,0.371
Rtn1,7.15473543858667e-304,2.12005589891897,0.534,0.163,1.17666779022996e-299,0.371
Celf3,0,1.99992757026576,0.457,0.087,0,0.37
Sept5,0,4.86607289218224,0.386,0.016,0,0.37
Camkv,0,7.38359186290371,0.37,0.004,0,0.366
Mllt11,0,4.08564642735184,0.392,0.027,0,0.365
Basp1,1.20488453434552e-264,1.56992701077484,0.518,0.153,1.98155310518465e-260,0.365
Dnm1,1.18719404359294e-200,1.28903249490727,0.714,0.349,1.95245932409296e-196,0.365
Gria4,0,4.67273151880225,0.383,0.02,0,0.363
Diras2,0,3.4553256322441,0.403,0.041,0,0.362
Ttc3,0,2.43634899166505,0.465,0.104,0,0.361
Ncdn,0,2.82981711685343,0.43,0.071,0,0.359
Stmn1,0,3.30366699945301,0.402,0.044,0,0.358
Calb2,0,6.55192657996827,0.362,0.006,0,0.356
