,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Slc1a3,0,8.94730524515255,0.962,0.01,0,0.952
Cp,0,8.4687983796278,0.92,0.008,0,0.912
Col2a1,0,8.57999528329382,0.91,0.009,0,0.901
Dkk3,0,5.83968602514867,0.981,0.086,0,0.895
Tgfb2,0,5.99791983331689,0.907,0.03,0,0.877
Slc6a11,0,7.34728796558501,0.875,0.014,0,0.861
Gpr37,0,8.6415867038801,0.863,0.008,0,0.855
Ddr1,0,5.52913140464854,0.91,0.057,0,0.853
Vim,0,3.74028420848531,0.911,0.073,0,0.838
Slc6a1,0,5.8294945566747,0.849,0.013,0,0.836
Col9a1,0,9.77753712724484,0.838,0.003,0,0.835
Crym,0,7.51808119848714,0.848,0.015,0,0.833
Synpr,0,6.31815177058496,0.849,0.017,0,0.832
Kdr,0,6.47165690364476,0.835,0.013,0,0.822
Cd9,0,4.26688856421747,0.922,0.101,0,0.821
Acsl3,0,5.98770197815293,0.949,0.128,0,0.821
Cdh2,0,4.64766355668792,0.916,0.101,0,0.815
Pax6,0,5.4656812910889,0.819,0.024,0,0.795
Glul,0,5.25791919477999,0.96,0.166,0,0.794
Clu,0,1.14581971812658,0.963,0.182,0,0.781
Fzd5,0,5.86924030780137,0.798,0.027,0,0.771
Abca8a,0,7.8002385166139,0.778,0.007,0,0.771
Flt1,0,5.11696951679435,0.781,0.012,0,0.769
Gpm6a,0,3.83590506282973,0.914,0.146,0,0.768
Mlc1,0,10.021070683203,0.769,0.001,0,0.768
Aqp4,0,9.16256967616042,0.77,0.003,0,0.767
Apoe,0,1.97384802363937,0.988,0.223,0,0.765
Vegfa,0,5.18581373605436,0.864,0.1,0,0.764
Vat1l,0,3.90728496539242,0.853,0.095,0,0.758
Ptn,0,5.97481773342336,0.768,0.014,0,0.754
Col23a1,0,6.09530380324507,0.766,0.015,0,0.751
Spon1,0,2.83571841275901,0.881,0.132,0,0.749
Rlbp1,0,2.32794437387929,0.913,0.166,0,0.747
Cnn3,0,2.88828156992529,0.899,0.158,0,0.741
Sept8,0,4.21362066658788,0.834,0.095,0,0.739
Sparc,0,2.16739401625602,0.951,0.219,0,0.732
Utp14b,0,5.50041026835328,0.783,0.052,0,0.731
Tmtc2,0,5.71353638399997,0.749,0.022,0,0.727
Plpp3,0,4.88483646898229,0.746,0.026,0,0.72
Pdpn,0,3.04024441368625,0.853,0.133,0,0.72
Cav1,0,5.72416150453548,0.724,0.013,0,0.711
Cdon,0,4.03069459491751,0.801,0.097,0,0.704
Begain,0,6.66803599025165,0.714,0.011,0,0.703
Mfge8,0,4.16187596396377,0.903,0.201,0,0.702
Cox4i2,0,6.19381304418693,0.704,0.014,0,0.69
Crot,0,5.17184425650501,0.723,0.033,0,0.69
Ndnf,0,4.28085108789304,0.715,0.025,0,0.69
Car14,0,2.02272188396367,0.847,0.162,0,0.685
Hopx,0,6.71381694750941,0.687,0.012,0,0.675
Kcnj10,0,8.752633778182,0.673,0.002,0,0.671
Cntn1,0,6.1151798229811,0.685,0.014,0,0.671
Lhx2,0,4.85905988226461,0.707,0.036,0,0.671
Nudt4,0,4.69062769101994,0.713,0.044,0,0.669
Ncald,0,4.76589291992909,0.697,0.033,0,0.664
