,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Col3a1,0,10.5251389398544,0.988,0.004,0,0.984
Col1a2,0,10.8245818253381,0.984,0.009,0,0.975
Col1a1,0,11.1872915977304,0.981,0.008,0,0.973
Dcn,0,13.7303175974736,0.952,0,0,0.952
Bgn,0,7.41437142079168,0.947,0.015,0,0.932
Gsn,0,7.64581318840077,0.932,0.017,0,0.915
Col6a1,0,8.31672005998608,0.904,0.007,0,0.897
Ahnak,0,5.39080365462427,0.914,0.033,0,0.881
Igfbp4,0,7.35250174004941,0.909,0.031,0,0.878
Fstl1,0,5.96604565748346,0.952,0.075,0,0.877
Serping1,0,7.83133209673567,0.872,0.009,0,0.863
Col6a2,0,9.33068924268418,0.865,0.004,0,0.861
Ltbp4,0,6.26955769177262,0.867,0.01,0,0.857
Emp1,0,6.8389886860527,0.857,0.009,0,0.848
Igfbp5,0,6.22826981837339,0.947,0.112,0,0.835
Cdh11,0,6.08743555566344,0.858,0.031,0,0.827
Col5a1,0,8.4272022837037,0.833,0.008,0,0.825
Ifitm2,0,4.25932555820546,0.895,0.072,0,0.823
Mgp,0,6.45443798393247,0.828,0.007,0,0.821
Akap12,0,7.2308784975791,0.831,0.012,0,0.819
Antxr1,0,6.04221476358786,0.832,0.025,0,0.807
Ccdc80,0,8.41578350771803,0.809,0.005,0,0.804
Serpinh1,0,4.0564896455033,0.91,0.115,0,0.795
Axl,0,5.0891805856897,0.821,0.037,0,0.784
Itm2a,0,5.42515799346139,0.798,0.021,0,0.777
Serpine2,0,6.12721160416063,0.818,0.041,0,0.777
Selenop,0,2.25002473971347,0.854,0.078,0,0.776
Nfix,0,4.09085319784791,0.865,0.092,0,0.773
Id3,0,4.5829346053632,0.837,0.069,0,0.768
Rcn3,0,6.83277475829199,0.778,0.013,0,0.765
Igf2,0,5.35959499207103,0.851,0.09,0,0.761
Mmp2,0,9.06361038207836,0.764,0.003,0,0.761
Sparc,0,3.73202250394979,0.99,0.229,0,0.761
Fgfr1,0,4.47348104398161,0.827,0.068,0,0.759
Col5a2,0,7.87815948150576,0.756,0.005,0,0.751
Lama2,0,7.74187296326691,0.756,0.005,0,0.751
Ccn2,0,6.73191801450477,0.769,0.02,0,0.749
Mxra8,0,6.92034602256346,0.756,0.009,0,0.747
Anxa2,0,4.4507220899506,0.801,0.054,0,0.747
Ntn1,0,9.65087750795556,0.749,0.002,0,0.747
Loxl1,0,4.16513632226517,0.842,0.1,0,0.742
Pitx2,0,9.44108195691459,0.743,0.002,0,0.741
Lrp1,0,2.45564686534144,0.932,0.196,0,0.736
Serpinf1,0,8.97778837649899,0.734,0.002,0,0.732
Vim,0,2.90783749508385,0.817,0.088,0,0.729
Mrc2,0,6.82905752838174,0.733,0.008,0,0.725
Plpp3,0,4.64025601296194,0.758,0.036,0,0.722
Nid1,0,5.17285881872869,0.733,0.012,0,0.721
Lmna,0,4.50442347850407,0.752,0.034,0,0.718
Txnip,0,4.11040920558715,0.772,0.055,0,0.717
Klf2,0,4.314384661722,0.761,0.044,0,0.717
Mmp14,0,4.77381794399069,0.762,0.046,0,0.716
Mfap5,0,12.834559346263,0.714,0,0,0.714
Igfbp7,0,3.2940211449119,0.842,0.129,0,0.713
Lum,0,13.2416149214834,0.712,0,0,0.712
Adamts10,0,5.71570774284697,0.732,0.024,0,0.708
S100a11,0,3.85446947202805,0.738,0.039,0,0.699
Cygb,0,5.79759443758297,0.736,0.037,0,0.699
Edn3,0,10.8646915606861,0.699,0.001,0,0.698
Nbl1,0,5.64182500308459,0.728,0.032,0,0.696
Ctdsp2,0,3.13501728786699,0.831,0.138,0,0.693
Gnas,0,3.38823709647082,0.912,0.222,0,0.69
Hspg2,0,4.61590228517544,0.705,0.016,0,0.689
Timp2,0,3.66338564177856,0.814,0.125,0,0.689
Pcolce,0,2.93073161593159,0.848,0.162,0,0.686
App,0,1.12355881930206,0.91,0.229,0,0.681
Islr,0,4.30801515927277,0.742,0.062,0,0.68
Cxcl12,0,7.11555323076659,0.687,0.008,0,0.679
Cald1,0,3.617663276949,0.767,0.089,0,0.678
Tgfbr2,0,4.46108092860814,0.724,0.047,0,0.677
Fkbp9,0,4.07625080536047,0.739,0.067,0,0.672
Nfia,0,3.722939654694,0.73,0.06,0,0.67
Ddr2,0,7.05802983355384,0.677,0.008,0,0.669
Flna,0,2.92636461046119,0.755,0.086,0,0.669
Cavin1,0,5.20253653236123,0.681,0.016,0,0.665
Colec12,0,7.4770444813019,0.669,0.006,0,0.663
Smoc1,0,6.72810922561013,0.685,0.024,0,0.661
Fcgrt,0,4.26821801988021,0.698,0.038,0,0.66
Adamts2,0,8.50071022578228,0.661,0.002,0,0.659
Anxa5,0,3.61080749102633,0.73,0.074,0,0.656
Apod,0,8.90266453969056,0.657,0.003,0,0.654
Lox,0,9.37153506179149,0.655,0.001,0,0.654
Ece1,0,5.38636703471514,0.676,0.026,0,0.65
Ski,0,3.08524621956699,0.751,0.101,0,0.65
Fos,0,3.58081018460935,0.766,0.125,0,0.641
Col4a1,0,2.53460361178426,0.66,0.02,0,0.64
Sptbn1,0,2.89493104127162,0.905,0.265,0,0.64
Pmp22,0,3.07656851855973,0.744,0.105,0,0.639
Lbp,0,8.03803826726863,0.641,0.004,0,0.637
Rhob,0,2.02057895778672,0.705,0.07,0,0.635
Zfp36,0,3.46036781030504,0.694,0.06,0,0.634
Crispld2,0,8.23922760115315,0.638,0.006,0,0.632
Itgbl1,0,12.1697697537591,0.632,0,0,0.632
Egr1,0,2.80474238487238,0.796,0.167,0,0.629
Pdgfra,0,6.76688456616915,0.629,0.003,0,0.626
Scara3,0,5.93930414449874,0.64,0.014,0,0.626
Foxc1,0,6.78854870556438,0.632,0.008,0,0.624
Dusp1,0,3.45412664635921,0.691,0.068,0,0.623
Lamc1,0,3.81447016982262,0.67,0.05,0,0.62
Bmp1,0,4.50616857845375,0.66,0.04,0,0.62
S100a6,0,5.47547623634314,0.637,0.018,0,0.619
Emp3,0,3.86285849794151,0.652,0.037,0,0.615
Il6st,0,2.6035080641463,0.817,0.208,0,0.609
Gpc3,0,3.46860113925964,0.75,0.141,0,0.609
Jund,0,2.39843757909517,0.809,0.201,0,0.608
Fmo1,0,8.90170804844282,0.611,0.003,0,0.608
Ptgfrn,0,4.94787052856474,0.634,0.026,0,0.608
Lamb2,0,4.57864659008829,0.639,0.033,0,0.606
Crtap,0,4.73083000914334,0.639,0.033,0,0.606
Cped1,0,8.57982222104365,0.602,0.002,0,0.6
Fbn1,0,3.94692423930595,0.689,0.091,0,0.598
Mfap2,0,5.16496487358535,0.619,0.022,0,0.597
Aldh2,0,2.51441325457804,0.725,0.129,0,0.596
Fosb,0,3.38210161178936,0.668,0.075,0,0.593
Pkd2,0,3.9988311427928,0.643,0.05,0,0.593
Clic4,0,4.02710054725383,0.632,0.04,0,0.592
Glis2,0,4.3105797340251,0.635,0.047,0,0.588
Selenom,0,4.21463309383391,0.626,0.039,0,0.587
Itm2b,0,1.7652818211691,0.93,0.343,0,0.587
Itgb1,0,2.74019879601567,0.686,0.101,0,0.585
Jun,0,2.96667832215432,0.755,0.171,0,0.584
Tsc22d1,0,3.59390425674309,0.75,0.167,0,0.583
Timp3,0,1.955854212915,0.775,0.196,0,0.579
Fkbp10,0,4.60695648446944,0.606,0.029,0,0.577
Igfbp6,0,8.79100085170001,0.581,0.004,0,0.577
Rarres2,0,6.38856891215897,0.582,0.007,0,0.575
Col16a1,0,8.41734881382883,0.577,0.003,0,0.574
Pdgfrb,0,4.92000489962127,0.587,0.013,0,0.574
Wnt5a,0,7.00805032122044,0.577,0.007,0,0.57
Ppic,0,5.36554292674266,0.588,0.018,0,0.57
Ltbp3,0,2.68000354293402,0.675,0.106,0,0.569
Col11a1,0,8.24600652555513,0.572,0.004,0,0.568
Ier2,0,2.70291936105174,0.655,0.093,0,0.562
Fndc1,0,6.82749083277406,0.573,0.011,0,0.562
Itgb5,0,2.06618337743362,0.686,0.125,0,0.561
Fbln1,0,6.39066469753909,0.563,0.004,0,0.559
Angptl2,0,6.04115007853915,0.568,0.01,0,0.558
Olfml2a,0,5.90737405714652,0.566,0.009,0,0.557
Tmsb4x,0,1.00930857834605,0.839,0.282,0,0.557
Junb,0,3.30886126405768,0.647,0.091,0,0.556
Gpc6,0,5.08177417789087,0.577,0.022,0,0.555
Lrp6,0,2.45378629103091,0.742,0.188,0,0.554
Eln,0,6.49763933125197,0.563,0.009,0,0.554
Thbs2,0,7.34913495473841,0.559,0.006,0,0.553
Lmo4,0,4.25904118398605,0.599,0.047,0,0.552
Maged2,0,3.8349802786455,0.599,0.047,0,0.552
Nrp2,0,4.94224309543913,0.575,0.026,0,0.549
Rnase4,0,3.79743674982925,0.583,0.034,0,0.549
Marcks,0,2.34054581882016,0.652,0.104,0,0.548
Reck,0,4.44092301668913,0.584,0.036,0,0.548
Laptm4a,0,2.22002979978496,0.698,0.153,0,0.545
Prelp,0,4.75454963911521,0.567,0.023,0,0.544
Ppp1r15a,0,4.38664945359061,0.595,0.051,0,0.544
Itm2c,0,1.91323898853814,0.706,0.164,0,0.542
Col4a2,0,2.68947783499986,0.566,0.026,0,0.54
C1s1,0,7.71851317207043,0.542,0.003,0,0.539
Cd9,0,1.83294090096248,0.658,0.119,0,0.539
Cebpd,0,3.73640301190731,0.619,0.08,0,0.539
Zfp36l1,0,3.27993364308087,0.599,0.06,0,0.539
Slc39a1,0,2.87006096240316,0.637,0.099,0,0.538
Col14a1,0,9.37847561306957,0.539,0.002,0,0.537
Ifitm3,0,3.75686995309981,0.565,0.028,0,0.537
Arap1,0,3.43095812615345,0.614,0.078,0,0.536
Tpt1,0,2.11588725241496,0.92,0.385,0,0.535
Klf4,0,4.44763465492646,0.562,0.029,0,0.533
Nrp1,0,4.81833140978136,0.56,0.027,0,0.533
Zbtb20,0,2.54905836009999,0.663,0.13,0,0.533
Tgfb3,0,6.19251285525638,0.541,0.011,0,0.53
Col6a3,0,8.17286327441349,0.532,0.003,0,0.529
Cd34,0,5.11914441539078,0.552,0.024,0,0.528
Aldh1a2,0,10.6826330266274,0.529,0.001,0,0.528
Kdelr3,0,6.59188595103419,0.534,0.007,0,0.527
Chpf,0,3.72930415491237,0.582,0.055,0,0.527
P3h3,0,4.06397033742504,0.568,0.041,0,0.527
Lix1l,0,3.67500688659247,0.576,0.05,0,0.526
Egfr,0,6.01810830341867,0.538,0.013,0,0.525
Cnn3,0,1.46924530686844,0.697,0.174,0,0.523
Rrbp1,0,2.53266521568312,0.649,0.127,0,0.522
Txndc5,0,2.80775078875542,0.64,0.118,0,0.522
Cyb5r3,0,3.61150286572258,0.578,0.056,0,0.522
Adgra2,0,4.55611711714358,0.545,0.024,0,0.521
Clmp,0,9.23791296880098,0.522,0.001,0,0.521
Aebp1,0,5.58499320567006,0.534,0.015,0,0.519
Cdkn1c,0,4.72849882240044,0.553,0.035,0,0.518
Tpm4,0,3.10973460741428,0.561,0.044,0,0.517
Hes1,0,3.8635415998277,0.562,0.045,0,0.517
Fndc3b,0,3.48316515081922,0.568,0.056,0,0.512
Ehd2,0,4.44220067688927,0.528,0.018,0,0.51
Cavin3,0,5.43874944828452,0.522,0.012,0,0.51
Serpinb6a,0,3.84252770335196,0.559,0.05,0,0.509
Kdelr2,0,3.37641764843622,0.582,0.074,0,0.508
