,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Neurod4,0,6.75196652486322,0.896,0.016,0,0.88
Car10,0,5.84846172995209,0.903,0.024,0,0.879
Celf3,0,4.50140433710869,0.929,0.085,0,0.844
Cadm3,0,4.43372334425036,0.928,0.09,0,0.838
Prox1,0,4.96640380322648,0.858,0.035,0,0.823
Kcnma1,0,5.32179396572331,0.851,0.028,0,0.823
Auts2,0,4.91830160154024,0.861,0.045,0,0.816
Ptprz1,0,7.04418766630804,0.825,0.012,0,0.813
Vsx2,0,4.66591781107402,0.808,0.042,0,0.766
Ptprd,0,4.64409358941231,0.808,0.043,0,0.765
Khdrbs3,0,3.70234992896484,0.88,0.135,0,0.745
Lhx4,0,7.54601682480016,0.752,0.009,0,0.743
Crmp1,0,5.53625830816743,0.765,0.022,0,0.743
Ackr1,0,4.83176974626143,0.784,0.044,0,0.74
Eef1a2,0,4.75291662909921,0.769,0.031,0,0.738
Spock2,0,4.65867082759543,0.763,0.025,0,0.738
Isl1,0,5.35171472470697,0.749,0.013,0,0.736
Lactbl1,0,3.61868021293582,0.903,0.175,0,0.728
Cacna1h,0,6.73573427183565,0.742,0.018,0,0.724
Gnao1,0,3.52102495767208,0.858,0.135,0,0.723
Gucy1a1,0,4.70674494436927,0.783,0.061,0,0.722
Cplx3,0,3.54672920985342,0.831,0.116,0,0.715
Drd1,0,7.94180643948573,0.717,0.005,0,0.712
Adgrl2,0,5.47706300219286,0.742,0.031,0,0.711
Snrpn,0,3.5186741451009,0.804,0.099,0,0.705
Igsf21,0,4.45652244633777,0.749,0.047,0,0.702
Gabrb3,0,3.74196888101236,0.788,0.088,0,0.7
Cabp5,0,6.05153826755237,0.709,0.018,0,0.691
Slc24a3,0,5.78224292872688,0.712,0.022,0,0.69
Ndnf,0,4.94552094872341,0.724,0.042,0,0.682
Cadps,0,5.60847933313681,0.703,0.026,0,0.677
Clip3,0,3.88655657892027,0.742,0.068,0,0.674
Rit2,0,5.80263689285447,0.688,0.014,0,0.674
Tmem215,0,6.67977009321501,0.681,0.009,0,0.672
Frmd3,0,6.24511573608593,0.68,0.011,0,0.669
Shisal1,0,6.20779147817807,0.677,0.014,0,0.663
Gria2,0,5.5481933767089,0.678,0.016,0,0.662
Sulf2,0,5.72073407958358,0.692,0.031,0,0.661
Thsd7a,0,3.935941299116,0.724,0.064,0,0.66
Gpr179,0,4.89320580035962,0.673,0.015,0,0.658
Asap2,0,4.9466234557835,0.675,0.025,0,0.65
Slc4a10,0,5.12980140851624,0.671,0.022,0,0.649
Gnb3,0,2.88614249002201,0.891,0.245,0,0.646
App,8.36345423320863e-268,0.929872080316661,0.882,0.236,1.37545368319349e-263,0.646
Gpm6a,0,1.96132610301917,0.808,0.167,0,0.641
Zmiz1,0,3.80557836728611,0.696,0.063,0,0.633
Agap1,0,2.86084151362859,0.772,0.143,0,0.629
Apba2,0,5.38429121362943,0.648,0.02,0,0.628
Vipr2,0,4.37088867420285,0.674,0.051,0,0.623
Cadm4,0,3.94590251414405,0.675,0.054,0,0.621
Amph,0,2.51098299462587,0.831,0.214,0,0.617
Cdh11,0,3.95162550051618,0.657,0.042,0,0.615
Tmem132d,0,6.37109993461529,0.621,0.011,0,0.61
Nyap2,0,5.8149115646361,0.627,0.018,0,0.609
