,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,1.53410876978432e-32,3.32693586309689,0.441,0.049,1.77941276207283e-28,Pdc,0.392
2,1.38482127360179e-27,3.47426149785631,0.398,0.051,1.60625419525071e-23,Pde6b,0.347
3,4.71293883554523e-22,2.70452816746673,0.453,0.111,5.46653775534891e-18,Abca4,0.342
4,3.9642869428305e-18,1.71769478299345,0.634,0.298,4.5981764249891e-14,Agpat3,0.336
5,9.27490015393004e-28,4.59513197404647,0.354,0.036,1.07579566885435e-23,Grk1,0.318
6,2.64651052014582e-19,2.40877127047002,0.404,0.096,3.06968755231713e-15,Prph2,0.308
7,1.36392016122357e-16,2.06207057523734,0.559,0.258,1.58201099500322e-12,Ric8b,0.301
8,8.42758823395247e-22,3.61351050336132,0.342,0.053,9.77515959256146e-18,Samd11,0.289
9,8.11036866809746e-14,1.87393369573858,0.503,0.225,9.40721661812624e-10,Cngb1,0.278
10,5.11024692506447e-23,4.03862204881474,0.304,0.031,5.92737540838228e-19,Nr2e3,0.273
11,1.58091262200384e-16,2.63885335147578,0.379,0.107,1.83370055026225e-12,Fam53b,0.272
12,1.79687886506103e-20,3.37150595277091,0.311,0.042,2.08419979558429e-16,Tulp1,0.269
13,1.41792639533728e-13,2.12279832843622,0.429,0.16,1.64465282595171e-09,Pcdh15,0.269
14,6.27892060800981e-19,3.29104519191929,0.323,0.058,7.28292001323057e-15,Rgs9,0.265
15,3.61310880990724e-13,1.98866840411439,0.447,0.187,4.19084490861141e-09,Pfkfb2,0.26
16,3.31972303482303e-12,1.87753170474719,0.472,0.216,3.85054674809123e-08,Atp8a2,0.256
17,1.20187652857485e-21,4.68754760826786,0.273,0.024,1.39405658549396e-17,Rp1,0.249
18,1.5004466447581e-20,4.02397527285034,0.28,0.031,1.74036806325492e-16,Casz1,0.249
19,4.41810717680092e-18,2.97922576611704,0.292,0.045,5.12456251437139e-14,Crb1,0.247
20,1.99575041694143e-14,2.60398289162873,0.329,0.089,2.31487090861037e-10,Fabp12,0.24
21,1.77764256864661e-17,3.33470642071543,0.286,0.047,2.0618876153732e-13,Pitpnm3,0.239
22,2.08805929884518e-17,3.18747400513322,0.286,0.047,2.42193998073052e-13,Impg2,0.239
23,6.18977541389853e-18,3.24518950298951,0.273,0.038,7.17952050258091e-14,Guca1b,0.235
