,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,8.9972417121e-28,3.48693041776063,0.903,0.166,1.01209972019413e-23,Zfp516,0.737
2,7.50454552721331e-31,3.73093035225971,0.839,0.105,8.44186326356225e-27,Camk2d,0.734
3,8.70392178874485e-29,3.96153477271552,0.806,0.113,9.79104162015909e-25,Cadm1,0.693
4,9.67444780522998e-27,3.32333766514203,0.806,0.115,1.08827863361032e-22,Vps37a,0.691
5,4.80107789549987e-22,3.02215242154848,0.935,0.264,5.40073252464781e-18,Clasp1,0.671
6,5.86495619190414e-31,4.06060069154121,0.742,0.078,6.59748922027297e-27,Kif1b,0.664
7,7.82616138966767e-18,2.6007273639529,0.935,0.273,8.80364894723717e-14,Tnrc6b,0.662
8,3.57852569513502e-24,3.61812198108206,0.774,0.121,4.02548355445738e-20,Stxbp1,0.653
9,1.94234890958006e-23,3.37922742333832,0.774,0.125,2.18494828838661e-19,Gpsm1,0.649
10,3.05219565773437e-20,3.27421989857734,0.806,0.166,3.43341489538539e-16,Impdh1,0.64
11,3.73218055127275e-30,4.10294759671673,0.71,0.074,4.19832990212671e-26,Grina,0.636
12,5.77618548613613e-16,2.72685329452566,0.903,0.275,6.49763105335453e-12,Kdm3b,0.628
13,6.98093421045018e-16,2.35278144303452,0.871,0.244,7.85285289333541e-12,R3hdm4,0.627
14,9.95858849600814e-19,2.45683925833447,0.968,0.342,1.12024161991596e-14,Ahcyl1,0.626
15,4.45991806468547e-19,2.93537969991947,0.806,0.184,5.01696183096468e-15,Ap2a2,0.622
16,2.49271905172037e-17,2.53846208601444,0.839,0.219,2.80405966128025e-13,Rab28,0.62
17,1.61061649678615e-18,2.89896230128385,0.903,0.297,1.81178249723474e-14,Tnpo1,0.606
18,4.45519979177568e-19,3.17133457169698,0.774,0.168,5.01165424576846e-15,Fam53b,0.606
19,5.57265101027223e-18,2.83041465601444,0.774,0.174,6.26867512145523e-14,Clcn3,0.6
20,3.08368040128902e-18,2.58973892207423,0.968,0.369,3.46883208341002e-14,Dctn1,0.599
21,4.41793548409949e-21,3.29998717786465,0.71,0.115,4.96973562606351e-17,Usp33,0.595
22,9.47036066797624e-18,3.07751254934046,0.774,0.18,1.06532087154065e-13,Acadvl,0.594
23,7.85675446342699e-16,2.23119295155272,0.903,0.309,8.83806309590902e-12,Frmd4b,0.594
24,4.73878000726108e-17,2.79888894914261,0.774,0.186,5.33065363016799e-13,Ppm1b,0.588
25,1.68402561031252e-18,2.63571540630601,0.968,0.383,1.89436040904056e-14,Ppp2r5c,0.585
26,4.7019119696281e-13,1.9715491349197,0.903,0.318,5.28918077463465e-09,Ccdc85c,0.585
27,7.31303324090682e-15,2.45242894907577,0.806,0.223,8.22643109269608e-11,Otud7b,0.583
28,2.60461068084287e-15,2.3744264370745,0.903,0.32,2.92992655488015e-11,Mllt6,0.583
29,1.16785246760078e-20,2.99633501334883,0.677,0.096,1.31371724080411e-16,Dmd,0.581
30,1.67820158920087e-26,3.54984619495071,0.645,0.064,1.88780896769206e-22,Map7,0.581
31,5.90491686806472e-19,3.18330721336306,0.71,0.131,6.642440984886e-15,Cirbp,0.579
32,1.15340580563542e-26,4.25225456708055,0.645,0.07,1.29746619075929e-22,Icmt,0.575
33,1.32042312248182e-14,2.44655696288572,0.806,0.236,1.4853439704798e-10,Med13l,0.57
34,5.64624392748432e-24,3.61140086546735,0.645,0.076,6.35145979402711e-20,Wwox,0.569
35,1.96492680515597e-14,2.38731215347,0.774,0.205,2.21034616311995e-10,Cul5,0.569
36,4.27995642958417e-14,2.22205432930485,0.774,0.205,4.81452298763923e-10,Slc25a25,0.569
37,1.23800700856337e-22,3.88307418957502,0.645,0.086,1.39263408393293e-18,Trafd1,0.559
38,9.09664096784295e-28,4.07046574384739,0.613,0.055,1.02328114247265e-23,AW549877,0.558
39,1.68218358882865e-15,2.20500228446238,1,0.443,1.89228831907334e-11,Mef2d,0.557
40,7.19167789503998e-16,2.29990497067691,0.968,0.412,8.08991846413048e-12,Ybx3,0.556
41,7.38520469766031e-13,2.09089157914166,0.839,0.285,8.30761676439808e-09,Cdc37l1,0.554
42,6.12044193714266e-26,3.74812314097244,0.613,0.061,6.88488513509178e-22,Tbc1d8,0.552
43,7.03047686845526e-16,2.68941218515754,0.806,0.256,7.90858342932532e-12,Aff1,0.55
44,3.49877859250845e-35,5.35839391992115,0.581,0.033,3.93577603871276e-31,Ric8b,0.548
45,4.64694875725737e-15,2.32716275366,0.903,0.357,5.22735265703881e-11,Fam3c,0.546
46,2.71034758565994e-12,2.15901430006112,0.839,0.293,3.04886999910886e-08,Pfkp,0.546
47,1.62804569633293e-14,2.80811213189379,0.774,0.229,1.83138860380492e-10,Aldoa,0.545
48,1.14054376763922e-12,2.18933100099083,0.839,0.295,1.28299768421735e-08,Adam9,0.544
49,1.98307189305456e-23,3.82341126827668,0.613,0.07,2.23075757249707e-19,Mtfr1,0.543
50,2.08677959457835e-23,3.8199222821968,0.613,0.07,2.34741836594118e-19,Stard7,0.543
51,1.83558002395959e-22,3.49058853228602,0.613,0.072,2.06484396895215e-18,Dgke,0.541
52,1.29689273078547e-16,3.02155614336645,0.677,0.137,1.45887463286057e-12,Eml3,0.54
53,7.4113662388904e-12,2.03320365283349,0.806,0.268,8.33704588212781e-08,Hmgcr,0.538
54,3.76866695803643e-14,2.56499842018326,0.742,0.205,4.23937346109517e-10,Dgkd,0.537
55,7.34211524662893e-12,1.97732395173036,0.742,0.205,8.25914544093289e-08,Capn7,0.537
56,4.56347200225317e-11,1.8517930696465,0.839,0.303,5.1334496553346e-07,Igf1r,0.536
57,2.42044880493412e-16,3.09720284211977,0.677,0.143,2.72276286067039e-12,Anp32e,0.534
58,1.5982373854345e-28,4.55395059328345,0.581,0.047,1.79785723487527e-24,Bin1,0.534
59,1.32584556785295e-15,2.71822903158462,0.677,0.145,1.49144367927778e-11,Chd7,0.532
60,8.89133885505883e-14,1.94833788017751,0.968,0.438,1.00018670780557e-09,Ptp4a3,0.53
61,9.79286044459245e-14,2.08902421821225,0.935,0.406,1.1015988714122e-09,Msi2,0.529
62,7.08595725365163e-11,2.00747557095403,0.839,0.314,7.97099331463272e-07,D5Ertd579e,0.525
63,1.76762193440014e-15,2.59329148491562,0.645,0.121,1.98839791400671e-11,Sfi1,0.524
64,1.3450471026439e-18,2.95834084836279,0.613,0.09,1.51304348576413e-14,Fance,0.523
65,8.59683182832918e-12,2.27890081129281,0.774,0.254,9.67057612368749e-08,Hif1a,0.52
66,4.28589443313125e-13,2.89502373743752,0.742,0.223,4.82120264782935e-09,Laptm4b,0.519
67,7.33357969622294e-23,3.96173942482465,0.581,0.062,8.24954380028119e-19,Rabgef1,0.519
68,2.19547514552642e-09,1.46425585330473,0.903,0.385,2.46968999120267e-05,Slc38a3,0.518
69,7.4125874224216e-16,2.84550503912729,0.645,0.129,8.33841959148205e-12,Desi1,0.516
70,2.46790686013913e-13,2.22671947497341,0.871,0.355,2.7761484269705e-09,Hk1,0.516
71,5.48648043989252e-10,1.77937070731747,0.806,0.291,6.17174184683509e-06,Luc7l3,0.515
72,1.41869804281028e-14,2.76159526067492,0.677,0.164,1.59589342835729e-10,Kirrel,0.513
73,5.88208588189974e-12,2.24277902105425,0.871,0.359,6.61675840854902e-08,Ldha,0.512
74,2.31546848942692e-11,1.89634279073053,0.871,0.359,2.60467050375634e-07,Slc31a2,0.512
75,1.11028104207086e-09,1.29998717786465,0.806,0.295,1.24895514422551e-05,Atp13a3,0.511
76,2.73067758877001e-15,2.55395059328345,0.613,0.107,3.07173921960739e-11,Ocrl,0.506
77,3.71782726401601e-10,1.6962192518229,0.71,0.205,4.18218388929161e-06,Homer1,0.505
78,2.16304217727433e-10,1.83895211917245,0.839,0.334,2.4332061452159e-06,Wapl,0.505
79,2.13169382104099e-14,2.18161754495884,0.935,0.432,2.39794237928901e-10,Ctbp2,0.503
80,2.37272409955252e-11,1.88060109841322,0.839,0.336,2.66907733958663e-07,Ric1,0.503
81,2.04405069469018e-14,2.71774949192892,0.645,0.143,2.29935262645699e-10,Fyco1,0.502
82,5.35468004769132e-14,2.73594842702634,0.645,0.145,6.02347958564797e-10,Flcn,0.5
83,8.62071090545949e-11,1.94975700214209,0.677,0.178,9.69743769755138e-07,Ndrg1,0.499
84,2.38347560041016e-10,1.95116681547505,0.742,0.246,2.68117170290139e-06,Atp6v1b2,0.496
85,3.56265291831778e-13,2.83864578197184,0.677,0.182,4.00762826781567e-09,Glo1,0.495
86,1.97799618135964e-17,3.17790722562047,0.581,0.086,2.22504790441146e-13,Kdm4c,0.495
87,6.93022549427425e-14,2.71718094215175,0.645,0.15,7.7958106585091e-10,Cspp1,0.495
88,1.02050195547779e-09,1.61659885840769,0.839,0.346,1.14796264971696e-05,Trak1,0.493
89,3.61613905637504e-09,1.49906051112246,0.839,0.348,4.06779482451628e-05,Casc3,0.491
