,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,1.89346917275761e-15,4.37167765671972,0.633,0.048,2.10478033243736e-11,Pla1a,0.585
2,1.2721093733433e-12,6.05182687686497,0.511,0,1.41407677940841e-08,Tie1,0.511
3,3.9145891472794e-12,3.62776599694065,0.542,0.032,4.35145729611578e-08,Clip2,0.51
4,1.76382157983345e-12,6.15205432460363,0.508,0,1.96066406814287e-08,Gpr153,0.508
5,6.02702992146568e-13,3.25781638719035,0.648,0.143,6.69964646070125e-09,Adgrf5,0.505
6,3.36706345710249e-12,2.16937842252276,0.716,0.222,3.74282773891513e-08,Sipa1,0.494
7,4.65575122287286e-12,3.69221921133612,0.568,0.079,5.17533305934548e-08,Itpr2,0.489
8,3.31070835842877e-11,2.09858621972205,0.674,0.19,3.68018341122942e-07,Loxl3,0.484
9,1.13545668143671e-18,3.16490692667569,0.848,0.365,1.26217364708504e-14,Unc5b,0.483
10,5.80274729503649e-17,2.49541091574286,0.845,0.365,6.45033389316256e-13,Pcdhgc3,0.48
11,9.5306685622781e-12,2.62288377556091,0.652,0.175,1.05942911738283e-07,Lrrc8b,0.477
12,5.85972075665125e-11,2.97727992349992,0.508,0.032,6.51366559309353e-07,Gng2,0.476
13,3.30526840906928e-11,4.30792523548839,0.5,0.032,3.67413636352141e-07,Nostrin,0.468
14,8.67568588295712e-11,2.18971887080694,0.625,0.159,9.64389242749514e-07,Limk1,0.466
15,7.54278287745471e-11,3.70371485017395,0.511,0.048,8.38455744657865e-07,Slc16a12,0.463
16,1.57264427521052e-10,3.14720492494223,0.538,0.079,1.74815137632402e-06,Pde8a,0.459
17,1.73392135002369e-19,2.87471018985937,0.871,0.413,1.92742697268634e-15,Plxdc2,0.458
18,3.34283527683197e-10,2.15376199303053,0.633,0.175,3.71589569372641e-06,Tram2,0.458
19,2.52549113080749e-14,3.40861923510786,0.727,0.27,2.80733594100561e-10,Col5a3,0.457
20,1.00146008679639e-10,4.23666655231857,0.485,0.032,1.11322303248286e-06,Cpm,0.453
21,1.44140345547078e-10,2.67123793857863,0.595,0.143,1.60226408110132e-06,Stard13,0.452
22,3.06982419151748e-10,2.68777330630493,0.561,0.111,3.41241657129084e-06,Coro2b,0.45
23,1.26111849323426e-10,2.3739856000065,0.64,0.19,1.4018593170792e-06,Limd2,0.45
24,5.07482974334411e-15,2.26748772906394,0.83,0.381,5.64118074270132e-11,Anpep,0.449
25,1.68455657981249e-11,2.35915055884356,0.67,0.222,1.87255309411956e-07,Cmtm3,0.448
26,6.31513231256042e-14,2.8199679186698,0.75,0.302,7.01990107864216e-10,Spon2,0.448
27,1.95851057297829e-10,3.98091850056326,0.511,0.063,2.17708035292267e-06,Samd5,0.448
28,4.70769111471566e-10,2.37289996895152,0.606,0.159,5.23306944311793e-06,Lgals9,0.447
29,2.34003351024089e-09,2.25481389902883,0.557,0.111,2.60118124998377e-05,Traf4,0.446
30,3.02173265911737e-10,2.00178088535253,0.667,0.222,3.35895802387487e-06,Mrc2,0.445
31,2.29109886043957e-15,2.20838956193747,0.826,0.381,2.54678549326462e-11,Stard8,0.445
32,7.02087344647232e-13,2.66080625870466,0.758,0.317,7.80440292309863e-09,Stc1,0.441
33,7.84049109781323e-18,2.57526154736156,0.867,0.429,8.71548990432918e-14,Ttyh2,0.438
34,1.34261746739534e-12,2.18384737767468,0.754,0.317,1.49245357675666e-08,Plod1,0.437
