,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,1.21686852639333e-161,2.78704821278129,0.557,0.122,1.35522647784426e-157,Fgf2,0.435
2,6.9282657045796e-119,2.22512316422297,0.658,0.224,7.7160095151903e-115,Agtpbp1,0.434
3,3.03991183890447e-183,3.14565359053097,0.485,0.082,3.38554981498791e-179,Gnb3,0.403
4,4.75483893353573e-70,1.60341694075222,0.707,0.37,5.29546412027874e-66,Arl6,0.337
5,0,4.89922612680505,0.354,0.018,0,Pcolce,0.336
6,4.10921740832149e-99,2.40755335608537,0.41,0.097,4.57643542764764e-95,Pmvk,0.313
7,1.21555202417726e-69,1.91596378976664,0.457,0.151,1.35376028932621e-65,Ipo5,0.306
8,2.50706283313763e-97,2.5436149056614,0.365,0.079,2.79211587726538e-93,Lrrc2,0.286
9,1.31602012805183e-33,0.949987173394996,0.714,0.47,1.46565161661133e-29,Lgalsl,0.244
10,2.94939259459408e-56,1.16298322000813,0.852,0.627,3.28473853259942e-52,Impg2,0.225
11,3.09740680049155e-27,1.08187015400921,0.504,0.281,3.44958195370743e-23,Mest,0.223
12,7.41160084370035e-21,0.861995669635984,0.541,0.339,8.25429985962908e-17,Pfkl,0.202
13,8.36090965458151e-24,0.849903842341135,0.649,0.448,9.31154508230742e-20,Glo1,0.201
14,3.99126319701405e-22,0.991936484467954,0.536,0.336,4.44506982251455e-18,Sptan1,0.2
15,9.09591512972111e-53,2.08978288667166,0.262,0.067,1.01301206799704e-48,Klhl29,0.195
16,1.42267999336962e-26,0.814978651013612,0.756,0.563,1.58443870861575e-22,Ptp4a3,0.193
17,4.32927574366932e-45,0.836078788357833,0.899,0.719,4.82151439572452e-41,Hk1,0.18
18,1.11122807158642e-32,1.78775789688186,0.283,0.105,1.2375747033258e-28,Rbm17,0.178
19,1.72809902294323e-14,0.764455318700048,0.494,0.331,1.92458388185188e-10,Dusp8,0.163
20,2.97205502016488e-12,0.6155257117438,0.506,0.344,3.30997767595762e-08,Lsm14a,0.162
21,1.03950099036046e-22,1.45703885974784,0.274,0.118,1.15769225296444e-18,Mindy2,0.156
22,1.84425438130666e-14,0.91618053186993,0.375,0.225,2.05394610446123e-10,Lman1,0.15
23,9.38855327633341e-13,0.660500735930293,0.576,0.426,1.04560317838525e-08,Neurod1,0.15
24,5.93469064613072e-16,1.10882987961477,0.351,0.202,6.60946497259579e-12,Htra1,0.149
25,1.14876946528419e-21,1.3579770389294,0.255,0.108,1.27938455348701e-17,Sec22c,0.147
26,1.52833517976192e-14,0.963836780799965,0.342,0.196,1.70210688970085e-10,Fbxo9,0.146
27,8.35332349986438e-12,0.623851021019951,0.578,0.432,9.30309638179896e-08,Kif1b,0.146
28,2.47707259514393e-12,0.609553117645205,0.646,0.514,2.75871574921179e-08,Syt1,0.132
29,2.48528090576061e-10,0.55895177191607,0.543,0.412,2.76785734474559e-06,Tax1bp1,0.131
30,4.45800491520908e-13,0.956115956896152,0.283,0.155,4.96488007406835e-09,Tpi1,0.128
31,1.72878077895483e-09,0.693578792507918,0.375,0.25,1.92534315352199e-05,H3f3a,0.125
32,2.00626509084865e-10,0.83871052072749,0.363,0.239,2.23437743167814e-06,Ccdc85c,0.124
33,1.09966434537113e-09,0.679497481703149,0.358,0.236,1.22469618143983e-05,Mmd,0.122
34,3.94131223259725e-11,0.936065719873001,0.29,0.173,4.38943943344356e-07,Ubxn7,0.117
35,3.15758894384532e-07,0.511959264566648,0.468,0.354,0.00351660680676054,Mef2d,0.114
36,1.19246794453707e-08,0.768321192836092,0.328,0.219,0.000132805154983094,Pfkp,0.109
37,6.77411331294047e-08,0.551987313077542,0.48,0.371,0.00075443299966218,Ppp2r2b,0.109
38,2.35369542269068e-05,0.30080921355119,0.581,0.472,0.262131059225061,Hmgn1,0.109
39,1.46352957883167e-06,0.456152064411059,0.443,0.337,0.0162993289194483,Gpi1,0.106
40,2.55698262248846e-07,0.611238693034421,0.379,0.275,0.0028477115466654,Tubb5,0.104
41,2.98638057200904e-06,0.493901660516189,0.471,0.371,0.0332593204304647,Sncb,0.1
42,1.83816508429162e-05,0.386681220606161,0.539,0.441,0.204716445437558,Ctbp2,0.098
43,0.000158127338713974,0.331442136630134,0.515,0.423,1,Cadm2,0.092
44,2.3068977859664e-07,0.858556352652086,0.258,0.166,0.00256919206423078,Gtf2a1,0.092
45,1.10885964988012e-06,0.77987394595737,0.302,0.211,0.0123493699207149,Gpsm2,0.091
46,0.000121283103562167,0.371878744530999,0.52,0.431,1,Pgam1,0.089
47,9.57558894913e-05,0.386474878862705,0.379,0.291,1,H2afy,0.088
48,2.4539389207104e-05,0.504949117008741,0.344,0.256,0.273295177599518,Cdk2ap2,0.088
49,5.935641504152e-05,0.337732309227392,0.66,0.573,0.661052394317408,Smim40,0.0870000000000001
50,4.76044734020506e-06,0.554408083002937,0.269,0.182,0.0530171020278638,Tmsb4x,0.087
51,4.20776679859507e-05,0.456338591664649,0.323,0.237,0.468618988359533,Alkbh5,0.086
52,2.61936199714983e-08,0.402450479722696,0.766,0.68,0.000291718345622577,Aldoa,0.086
53,2.5042799823626e-06,0.707771426644098,0.26,0.175,0.0278901661635723,Eif1,0.085
54,5.11492917356346e-14,0.397076593518087,0.897,0.812,5.69649662059763e-10,Cplx4,0.085
55,0.000196622487594034,0.388086904669231,0.489,0.404,1,Icmt,0.085
56,1.42637154993631e-05,0.683769801805002,0.316,0.232,0.158854999516407,Ubap1l,0.084
57,3.64048370832328e-09,0.403104346818591,0.785,0.703,4.05440670595963e-05,Anp32e,0.0820000000000001
58,0.000278722710191674,0.378906962860933,0.372,0.291,1,Sf3b2,0.081
59,0.000181090947513691,0.4328201146958,0.349,0.268,1,Hsp90b1,0.081
60,0.000217159666762512,0.42030760031361,0.372,0.293,1,Adcy1,0.079
61,0.000250233767816468,0.392239143138873,0.34,0.261,1,Slc25a23,0.079
62,0.000290971253676993,0.422011991874741,0.319,0.242,1,Apbb1,0.077
63,0.000228335031947085,0.396243260947994,0.286,0.209,1,Dynll1,0.077
