,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,0,5.54284894140196,0.932,0.087,0,Serpina3n,0.845
2,6.70637504678949e-67,3.00165731786277,0.463,0.09,8.48423507169339e-63,C4b,0.373
3,2.89506023220536e-42,2.15536444270338,0.791,0.433,3.662540699763e-38,Osmr,0.358
4,1.23215808358252e-126,3.88781156245082,0.367,0.031,1.55880319154024e-122,Sulf2,0.336
5,8.60656701356799e-32,2.64644563482007,0.65,0.33,1.08881679288649e-27,Chil1,0.32
6,2.08720950451512e-22,1.34055893467844,0.621,0.319,2.64052874416208e-18,Aplp1,0.302
7,9.6433473421105e-18,1.05375506445629,0.746,0.482,1.2199798722504e-13,Vit,0.264
8,1.16754177660794e-21,1.33905444350688,0.729,0.476,1.47705710158671e-17,Slc26a7,0.253
9,1.18921529375428e-32,1.16775749695368,0.91,0.659,1.50447626812854e-28,Pcolce,0.251
10,1.54069330069805e-18,1.44380428664558,0.429,0.179,1.94913109471311e-14,Chrnb4,0.25
11,4.48694976340579e-14,1.04905020075731,0.593,0.349,5.67644014568466e-10,Dkk3,0.244
12,7.11171707532024e-14,0.870167577989243,0.706,0.462,8.99703327198764e-10,Slc7a5,0.244
13,2.09747628454938e-16,1.81563227568962,0.424,0.189,2.65351724758342e-12,Htra1,0.235
14,1.30699455793933e-13,1.1084899858064,0.458,0.224,1.65347881524904e-09,Cd9,0.234
15,6.00981453725034e-11,0.874106630346188,0.616,0.385,7.60301637107541e-07,Cox8b,0.231
16,4.54973556240086e-17,1.49894796682386,0.35,0.134,5.75587045999333e-13,Piezo1,0.216
17,7.9377930113921e-12,0.768781094391994,0.746,0.531,1.00421019387122e-07,Sema3b,0.215
18,2.34890609440662e-14,1.54515951318653,0.373,0.166,2.97160110003381e-10,Tsc22d4,0.207
19,1.46527660550153e-09,1.14227695211953,0.52,0.321,1.85372143361998e-05,F3,0.199
20,1.27664444250373e-17,2.14832162024743,0.305,0.108,1.61508288421147e-13,DEPRECATED-ENSMUSG00000006205,0.197
21,3.05663657928475e-13,0.813005418409444,0.808,0.614,3.86695093645314e-09,Atp1b2,0.194
22,4.66989308574753e-08,0.691301379637213,0.605,0.414,0.00059078817427792,Man2b2,0.191
23,3.75562663335155e-13,0.840902688686277,0.746,0.555,4.75124325385304e-09,Lman1,0.191
24,1.29962166778403e-07,0.637048680931031,0.644,0.454,0.00164415137191357,Bace2,0.19
25,1.88760835039383e-12,1.72074265857865,0.362,0.177,2.38801332408324e-08,Gsta3,0.185
26,4.17723422972103e-09,0.896981516848707,0.379,0.197,5.28461902402007e-05,Scarb2,0.182
27,1.74431357042698e-07,0.733706471552062,0.486,0.309,0.00220673109794717,Pdia6,0.177
28,5.3319850523331e-05,0.411213384121774,0.712,0.539,0.67454942897066,Thbs4,0.173
29,4.20129387373758e-10,1.20538600285584,0.322,0.155,5.31505687966542e-06,Ugcg,0.167
30,9.22095850782941e-15,0.971367580100019,0.819,0.652,1.1665434608255e-10,Cdh3,0.167
31,5.07600503679776e-07,0.723824180741768,0.412,0.246,0.00642165397205284,Padi2,0.166
32,8.02273107218667e-10,0.630781081065266,0.785,0.621,1.01495570794234e-05,Gaa,0.164
33,0.000138448451780564,0.348583664480113,0.757,0.603,1,Gns,0.154
34,1.23981616643978e-07,1.18397978084342,0.345,0.191,0.00156849143216296,Acta2,0.154
35,2.51836838060803e-05,0.559186015099607,0.486,0.332,0.318598783830722,Lrp2,0.154
36,1.56345342745841e-05,0.622393618211635,0.463,0.31,0.197792493107764,Pld3,0.153
