,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,0,4.01846415966452,0.966,0.206,0,Sparc,0.76
2,1.16224743165667e-303,3.48615898883219,0.881,0.166,1.54613775833287e-299,Serpine2,0.715
3,5.17699533569935e-287,3.80428070465752,0.818,0.107,6.88695689508085e-283,Sall1,0.711
4,9.75559474682412e-280,3.6079250195054,0.844,0.171,1.29778676917001e-275,Lag3,0.673
5,6.65908369853924e-247,2.42162044428193,0.827,0.174,8.85857904416675e-243,Siglech,0.653
6,1.05465206591865e-234,4.04619400666202,0.711,0.078,1.40300364329158e-230,Adgrg1,0.633
7,1.28253404871982e-234,2.81988096687559,0.821,0.217,1.70615504501198e-230,Phyhd1,0.604
8,2.51221686484161e-204,3.37840868141029,0.67,0.076,3.34200209529879e-200,Cd34,0.594
9,6.86737353421642e-234,2.71138319360238,0.845,0.253,9.1356670125681e-230,Ldhb,0.592
10,0,2.94863789542092,0.991,0.405,0,Cd81,0.586
11,1.73934864447976e-194,4.006446271788,0.624,0.059,2.31385550175143e-190,Nav3,0.565
12,3.57843582480464e-242,2.42126467950134,0.92,0.356,4.76039317773761e-238,Gpr34,0.564
13,1.00827487454051e-236,2.41862391959059,0.892,0.33,1.34130806560123e-232,Golm1,0.562
14,3.96739080116518e-276,2.4078023021318,0.959,0.397,5.27781998279004e-272,Plxdc2,0.562
15,2.98160656006198e-201,2.98353899948511,0.799,0.241,3.96643120685045e-197,Gpr84,0.558
16,4.13166467521911e-216,2.71270047682473,0.916,0.36,5.49635351744398e-212,Il1a,0.556
17,1.09945393907862e-196,2.41140310432228,0.796,0.241,1.46260357515629e-192,Dst,0.555
18,3.49937208121616e-288,2.40865512231775,0.965,0.42,4.65521467964186e-284,Bin1,0.545
19,5.2470384602627e-292,2.33710211016698,0.975,0.435,6.98013526368746e-288,Epb41l2,0.54
20,1.11415586645345e-186,2.21265156324056,0.839,0.305,1.48216154914302e-182,Tmem119,0.534
21,2.03509546519279e-192,2.28950678421238,0.847,0.324,2.70728749734597e-188,P2ry13,0.523
22,2.01983162204093e-302,3.12593545208067,0.95,0.429,2.68698200680106e-298,P2ry12,0.521
23,1.34929362295128e-173,1.63729871268102,0.923,0.418,1.79496530661209e-169,Slco2b1,0.505
24,2.1617831248958e-166,1.92850554193288,0.822,0.33,2.87582009104888e-162,Frmd4a,0.492
25,1.21461383398508e-176,1.65860974111062,0.933,0.454,1.61580078335035e-172,F11r,0.479
26,4.68126786701233e-158,1.48864246148925,0.912,0.433,6.2274906434865e-154,Ptgs1,0.479
27,3.11301561807297e-163,1.70357077639615,0.89,0.412,4.14124467672247e-159,Mertk,0.478
28,1.24870432499937e-147,1.82047763477484,0.82,0.35,1.66115136354667e-143,Arsb,0.47
29,8.43089414767212e-134,2.71889145924666,0.65,0.199,1.12156184846482e-129,Pdgfb,0.451
30,3.19516444676926e-141,1.46427436866301,0.892,0.447,4.25052726353714e-137,Basp1,0.445
31,3.6902632251059e-141,5.11159880230658,0.453,0.013,4.90915716835838e-137,Ecscr,0.44
32,1.54649450907991e-118,1.13508690509516,0.973,0.54,2.057301645429e-114,Fcrls,0.433
33,6.39563734403869e-119,1.37120062376911,0.847,0.426,8.50811635877467e-115,Timp2,0.421
34,2.87288556361308e-114,1.56789355532829,0.765,0.346,3.82179966527449e-110,Trem2,0.419
35,4.96318171636795e-86,1.07532109021443,0.732,0.314,6.60252063728429e-82,Pmp22,0.418
36,4.41689574461139e-104,1.63541646144409,0.639,0.222,5.87579640905653e-100,Lhfpl2,0.417
37,1.11923765089813e-114,2.27471926298665,0.581,0.165,1.48892184698978e-110,Tanc2,0.416
38,8.86806337461479e-91,1.00547937967341,0.88,0.469,1.17971847072501e-86,Hpgds,0.411
39,1.57476522733678e-107,1.76583306318105,0.651,0.242,2.09491018192612e-103,Pros1,0.409
40,5.60048005004097e-97,1.03475560992179,0.911,0.504,7.4503186105695e-93,Cd63,0.407
41,2.92610189838004e-233,1.95994199487691,0.974,0.568,3.89259335541496e-229,Ctsl,0.406
42,9.90204470173255e-115,1.74632650808446,0.771,0.366,1.31726900667148e-110,Pfkfb3,0.405
