,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,4.38894377951151e-253,4.3465727686865,0.853,0.118,5.91366284851381e-249,Maff,0.735
2,5.33779824237875e-241,4.09130579856591,0.806,0.099,7.19214935178113e-237,Egr2,0.707
3,1.0861522995381e-213,3.14359617760152,0.94,0.262,1.46348160839763e-209,Srf,0.678
4,6.82065314358903e-238,3.4861901229386,0.98,0.304,9.19014804567186e-234,Junb,0.676
5,1.39058998843313e-243,3.91114524379895,0.978,0.304,1.8736809504148e-239,Zfp36,0.674
6,4.58590178786241e-198,3.39497465631082,0.837,0.178,6.17904406896581e-194,Cebpb,0.659
7,2.12866447750232e-203,3.91664828481334,0.788,0.135,2.86816251698663e-199,Egr3,0.653
8,3.81702042310349e-243,3.8778358384713,0.982,0.334,5.14305331808964e-239,Nr4a1,0.648
9,1.29149315876764e-179,3.52647671499261,0.766,0.134,1.74015788212352e-175,Ppp1r15a,0.632
10,2.00080158650664e-185,3.55304779038345,0.743,0.119,2.69588005765904e-181,Dusp5,0.624
11,1.92084630339605e-185,3.63481757418802,0.828,0.206,2.58814830919583e-181,Atf3,0.622
12,8.09714950343841e-202,4.04089086304409,0.705,0.084,1.09100992409329e-197,Klf4,0.621
13,3.03697806602058e-168,2.83345486873556,0.808,0.187,4.09202424615612e-164,Coq10b,0.621
14,7.44608425147938e-182,3.62039803327513,0.763,0.143,1.00328539204433e-177,Irf1,0.62
15,7.32459234609936e-193,3.58285619170554,0.701,0.089,9.86915572713428e-189,Csrnp1,0.612
16,6.92719227923197e-186,4.16279173178156,0.83,0.218,9.33369887703716e-182,Dnajb1,0.612
17,9.77162119144905e-203,5.07093815765119,0.623,0.051,1.31662823933584e-198,Nr4a3,0.572
18,8.02987872815431e-177,3.28111427847789,0.913,0.345,1.08194585983151e-172,Klf6,0.568
19,1.408427892396e-145,2.78157578405762,0.71,0.143,1.89771574221437e-141,Fosl2,0.567
20,3.47745218122872e-227,3.50992894389733,0.993,0.431,4.68551906898758e-223,Fosb,0.562
21,7.79761407333676e-182,3.56848948178578,0.931,0.372,1.0506505202414e-177,Dusp1,0.559
22,1.63581421716168e-154,3.19695744193595,0.661,0.109,2.20409607620365e-150,Mafk,0.552
23,1.0472856724391e-153,3.71120841966016,0.812,0.266,1.41111271504445e-149,Ddit3,0.546
24,1.96788256395487e-145,3.23439416720322,0.647,0.109,2.65152496667279e-141,Socs3,0.538
25,9.5500658912776e-214,3.56332976741832,0.975,0.438,1.28677587819074e-209,Ier2,0.537
26,3.11769224551652e-131,2.78314911914145,0.775,0.242,4.20077853160896e-127,Cbx4,0.533
27,5.55489316594591e-137,3.05318507375454,0.806,0.275,7.48466305179552e-133,Ifrd1,0.531
28,9.07501345359223e-136,2.69158042605288,0.835,0.31,1.22276731273702e-131,Nfkbiz,0.525
29,4.05764215477201e-134,3.31075955236394,0.65,0.133,5.46726703933981e-130,Lmna,0.517
30,1.18360165716878e-120,3.07011873061518,0.703,0.201,1.59478487286921e-116,Jdp2,0.502
31,5.61966996000511e-140,2.53138343228527,0.897,0.399,7.57194330411088e-136,Ccnl1,0.498
32,2.4964559958394e-109,2.35378227735433,0.739,0.242,3.36372480879401e-105,Epha2,0.497
33,2.66901529284589e-112,2.57283922306817,0.674,0.178,3.59623120558056e-108,Rassf1,0.496
34,4.34343817722354e-119,2.80546262901403,0.629,0.14,5.852348599991e-115,Arid5a,0.489
35,1.84747439891882e-101,2.3367025639181,0.67,0.191,2.48928700510322e-97,Dusp8,0.479
36,4.50634817481242e-111,3.00841921425259,0.643,0.164,6.07185353074225e-107,Tiparp,0.479
37,1.46250489261371e-228,3.62754068984551,0.998,0.523,1.97057909230771e-224,Btg2,0.475
38,7.33457550687122e-214,3.37398885845505,1,0.536,9.88260703795828e-210,Fos,0.464
39,1.21219980208831e-105,2.62742473729892,0.614,0.151,1.63331801333379e-101,Ubald1,0.463
40,5.79648911806118e-95,2.45274587318049,0.69,0.234,7.81018943767564e-91,Erf,0.456
41,1.66958443901946e-85,2.2839038847034,0.688,0.252,2.24959807313482e-81,Zyx,0.436
42,2.76713246287282e-94,2.52593367448665,0.578,0.143,3.72843428047484e-90,Elmsan1,0.435
43,2.9545233312651e-99,2.81122281321552,0.556,0.123,3.98092473654659e-95,Gadd45b,0.433
44,3.65671861468538e-97,2.6465940930167,0.565,0.133,4.92706266142708e-93,Map3k14,0.432
45,1.00992479021479e-130,2.62804972910912,0.891,0.46,1.36077266233541e-126,Rhob,0.431
46,2.94202240344825e-99,3.02453469205887,0.551,0.122,3.96408098640618e-95,Fam118a,0.429
47,6.52712108828504e-130,4.02488513076934,0.48,0.053,8.79464295435526e-126,Arc,0.427
48,2.83043940259064e-81,2.23140777579275,0.647,0.223,3.81373405105062e-77,Creb5,0.424
49,6.78322096926764e-209,3.06813726809127,1,0.579,9.13971193399122e-205,Egr1,0.421
50,7.64881606001938e-79,2.10356754946296,0.661,0.24,1.03060147592701e-74,Brd2,0.421
51,3.72668723628699e-90,2.52639762963751,0.683,0.263,5.0213383821731e-86,Amotl2,0.42
52,1.37568830967538e-207,3.31229305837589,0.989,0.57,1.85360242845661e-203,Ccn1,0.419
53,3.7927276738775e-75,1.8352255406956,0.616,0.198,5.11032126778254e-71,Tnfrsf12a,0.418
54,1.88988109400503e-95,2.65111738188676,0.489,0.09,2.54642578606238e-91,Hist1h2ap,0.399
55,1.53267643709865e-72,1.81036738739775,0.73,0.331,2.06512823134672e-68,Stat3,0.399
56,1.09173223997937e-94,2.7495974271201,0.487,0.09,1.47100002014821e-90,Sertad1,0.397
57,5.70883829812654e-66,1.72618862203682,0.708,0.311,7.6920887228957e-62,Btg1,0.397
58,6.43729625703812e-84,2.85253037347583,0.527,0.131,8.67361297673316e-80,Irs2,0.396
59,1.16971027169872e-69,2.01346521843553,0.598,0.206,1.57606762008686e-65,Myl12a,0.392
60,1.11792176419576e-68,2.16957577598127,0.603,0.212,1.50628778507736e-64,Pde4b,0.391
61,8.6258161323534e-122,2.1267314168409,0.915,0.527,1.1622424656733e-117,Per1,0.388
62,3.37948110855893e-86,3.32097936148789,0.491,0.112,4.55351284567231e-82,Srxn1,0.379
63,1.13921046241904e-82,2.64891781114211,0.473,0.101,1.53497217706341e-78,Frat2,0.372
64,3.88316475900827e-79,2.75761111075205,0.489,0.117,5.23217619628774e-75,Klf10,0.372
65,4.48012596876444e-61,1.85168917979322,0.598,0.229,6.0365217303132e-57,Per2,0.369
66,1.85134801490324e-60,1.83348876704359,0.569,0.203,2.49450631528062e-56,Arid5b,0.366
67,4.14674203231323e-62,1.86922310136996,0.565,0.201,5.58732021433885e-58,Dusp10,0.364
68,2.02798694075655e-64,2.25085061249016,0.525,0.162,2.73250960397537e-60,Bcl2l11,0.363
69,1.73418652969296e-68,2.98743433090318,0.538,0.18,2.3366429301083e-64,Homer1,0.358
70,1.13382894107136e-59,1.68551006222376,0.752,0.394,1.52772111519956e-55,Vcl,0.358
71,1.16586616145173e-53,1.57145774436143,0.65,0.294,1.57088806594006e-49,Tagln2,0.356
72,1.73489312741701e-85,3.26031592935413,0.429,0.075,2.33759499988168e-81,Gadd45g,0.354
73,2.55466247619576e-65,2.04743145960879,0.489,0.135,3.44215222042617e-61,Atf4,0.354
