,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,2.30501477494089e-233,7.53232655240436,0.883,0.021,3.04607702508439e-229,Clec3b,0.862
2,2.5168365997745e-217,6.46725730057801,0.878,0.034,3.325999566602e-213,Dpt,0.844
3,8.01202083741059e-126,3.53745413875225,0.917,0.211,1.05878855366381e-121,Aspn,0.706
4,2.99062091849713e-181,5.88872483722434,0.722,0.017,3.95210554379396e-177,Osr2,0.705
5,4.38089111303979e-191,7.91103499894942,0.709,0.009,5.78934760588208e-187,Emilin2,0.7
6,2.07841869571332e-143,4.78794824796836,0.761,0.072,2.74663030638515e-139,Adamts5,0.689
7,1.812967062787e-129,4.56075606086788,0.874,0.186,2.39583597347303e-125,Thy1,0.688
8,8.98734323440439e-143,4.95705516317334,0.739,0.066,1.18767740842654e-138,Lrrc17,0.673
9,2.2158990198033e-170,5.97697470322874,0.678,0.015,2.92831055467006e-166,Col6a6,0.663
10,7.81853048051546e-178,7.8073801241965,0.652,0.005,1.03321880300012e-173,Ly6c1,0.647
11,1.20497522510756e-113,3.57552078119117,0.783,0.136,1.59237475997964e-109,Man1a,0.647
12,2.54399621244127e-112,3.57994214715892,0.761,0.116,3.36189099474114e-108,Col5a3,0.645
13,4.33715830554336e-148,5.33962274493434,0.674,0.035,5.73155470077556e-144,Cadm3,0.639
14,9.1192152484449e-171,6.83400035741601,0.643,0.008,1.20510429508199e-166,Adgrd1,0.635
15,2.08086347458651e-114,3.64565150555242,0.896,0.268,2.74986108166608e-110,Ly6a,0.628
16,7.46022623762345e-108,3.63446171443755,0.9,0.284,9.85868897301939e-104,Tppp3,0.616
17,7.70582711523945e-109,3.16592997292858,0.957,0.342,1.01832505327889e-104,Itih5,0.615
18,1.70944142975638e-119,4.16703341413609,0.683,0.071,2.25902684942306e-115,Qpct,0.612
19,2.10871849466468e-91,2.76237200126235,0.791,0.181,2.78667149069938e-87,Fyn,0.61
20,1.64507170625313e-132,4.90472930193515,0.652,0.043,2.17396225981351e-128,Ebf2,0.609
21,1.78448488029792e-97,3.28381816813949,0.83,0.235,2.3581967693137e-93,Antxr2,0.595
22,7.42423637259348e-113,3.45816361257585,0.935,0.346,9.81112836638229e-109,Tnxb,0.589
23,1.26848828979167e-143,6.3363408336821,0.604,0.02,1.67630727495969e-139,Efhd1,0.584
24,2.77820281023584e-90,3.12869196489989,0.726,0.144,3.67139501372667e-86,AW551984,0.582
25,1.36797668568251e-130,4.89159685850478,0.604,0.029,1.80778119012944e-126,Creb5,0.575
26,2.42301150222711e-138,6.50530389767978,0.591,0.021,3.20200970019313e-134,Dact2,0.57
27,4.20819152680687e-95,2.56297381800741,0.943,0.373,5.56112510267527e-91,Fn1,0.57
28,6.61923279968089e-97,3.73868326011257,0.661,0.099,8.7473161447783e-93,Steap3,0.562
29,7.00522586369393e-87,3.14353606570593,0.687,0.132,9.25740597887153e-83,Mmp23,0.555
30,3.98138776339874e-118,5.29375121117039,0.596,0.042,5.26140392933144e-114,Ackr3,0.554
