,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
1,1.89590542776804e-36,1.63450453099331,0.649,0.342,2.18408305278878e-32,Gckr,0.307
2,2.17498877664554e-48,1.50074594082772,0.796,0.498,2.50558707069566e-44,Cngb3,0.298
3,2.69761110713474e-31,1.397390347594,0.651,0.361,3.10764799541922e-27,Adrb1,0.29
4,3.93934878693511e-36,1.39784190176547,0.73,0.456,4.53812980254925e-32,Dnah9,0.274
5,1.77929102407716e-27,1.27601858722824,0.619,0.356,2.04974325973689e-23,Slc24a2,0.263
6,6.49693973451518e-27,2.02001557789435,0.392,0.138,7.48447457416148e-23,Parvg,0.254
7,4.78268894181734e-28,1.37447920531914,0.644,0.402,5.50965766097357e-24,Ackr1,0.242
8,1.5508639346867e-32,1.1551562333475,0.766,0.539,1.78659525275908e-28,Slc24a4,0.227
9,3.1414846270513e-20,1.31011652632964,0.517,0.292,3.6189902903631e-16,Plec,0.225
10,1.08955610473572e-27,1.06699560681232,0.757,0.54,1.25516863265555e-23,Celf3,0.217
11,1.88778094558207e-20,1.21312968332555,0.565,0.348,2.17472364931054e-16,Jchain,0.217
12,1.98136109655951e-19,1.05847267899047,0.628,0.414,2.28252798323656e-15,Gabrb3,0.214
13,9.47319854788074e-17,1.20469341984151,0.469,0.256,1.09131247271586e-12,Lrfn2,0.213
14,6.8867912890575e-20,1.42677258636381,0.517,0.307,7.93358356499423e-16,Nptx1,0.21
15,1.89921618088055e-17,1.3308786174034,0.463,0.253,2.18789704037439e-13,Trio,0.21
16,2.57055227061742e-19,1.90693763482935,0.363,0.158,2.96127621575127e-15,Sfxn5,0.205
17,8.96747879780015e-29,0.9591259116696,0.814,0.609,1.03305355750658e-24,Qsox1,0.205
18,1.86298590833353e-31,1.06120546662205,0.821,0.624,2.14615976640023e-27,Slc8a3,0.197
19,2.05171516141146e-15,0.983512159936952,0.585,0.388,2.363575865946e-11,Gulo,0.197
20,2.64457180414796e-14,1.15065236604595,0.463,0.269,3.04654671837845e-10,Slc35g1,0.194
21,2.84544491833472e-18,0.967580878480149,0.676,0.483,3.2779525459216e-14,Otop3,0.193
22,1.11636739852371e-27,0.864902788344818,0.88,0.689,1.28605524309931e-23,Mpp6,0.191
23,2.06029313653482e-23,1.17133226662706,0.66,0.473,2.37345769328811e-19,Senp3,0.187
24,2.52818507543996e-22,0.887368326916009,0.778,0.593,2.91246920690683e-18,Nrcam,0.185
25,5.96173281092862e-14,1.23690606854881,0.395,0.21,6.86791619818977e-10,Osbpl3,0.185
26,1.06566109770158e-14,0.946910096335846,0.585,0.408,1.22764158455222e-10,Slc38a1,0.177
27,2.95057548567987e-28,1.1057753281869,0.796,0.62,3.3990629595032e-24,Ccnl1,0.176
28,3.98217609095622e-16,1.08459828505127,0.569,0.393,4.58746685678157e-12,Kcnc3,0.176
29,8.50133230692612e-26,0.872682318685607,0.855,0.681,9.79353481757889e-22,Cadm3,0.174
