"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"A2m",0,0,0,0.027,0.25471913762179,1,1,0.58913817669235,1,1,3.97519660899943,0.0295818396463014,1
"A3galt2",0.017,0,0.017,0,-1.74528086237821,0.11250130957705,1,0.174100677413506,1,1,-1.34673148588794,0.167024403394058,1
"A4galt",0.081,0.076,0.139,0.145,0.347828542013272,0.912177858703598,1,0.852172582526144,0.109966110487152,1,0.994305431947132,0.0796185617523622,1
"AA467197",0.017,0.007,0.009,0,-0.74528086237821,0.407749257216465,1,-0.41086182330765,0.542296347511844,1,-1.34673148588794,0.167024403394058,1
"AA792892",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"AA986860",0.017,0.014,0.026,0.018,-0.160318361657054,0.802547004196704,1,0.58913817669235,0.613483421842957,1,0.238231014833221,0.96093989362338,1
"Aaas",0.075,0.041,0.078,0.073,-0.552635784435814,0.214138982182027,1,0.103711349522107,0.923780043739749,1,0.167841686941823,0.958122880262874,1
"Aacs",0.046,0.021,0.017,0.064,-0.915205863820522,0.215792775063661,1,-0.995824324028806,0.191891614055419,1,0.483343512669753,0.526554020341226,1
"Aadacl2",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Aadacl4",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Aagab",0.064,0.076,0.148,0.127,0.139241920201854,0.680122805807458,1,1.13662597199484,0.0188442434958849,1,0.859719391579491,0.0696707777855879,1
"Aak1",0.064,0.014,0.113,0.173,-1.86075807979815,0.0256523659473185,1,0.795589054159776,0.138925254018546,1,1.27475689085834,0.00405785903532242,1
"Aamdc",0.069,0.062,0.165,0.109,-0.12379248563194,0.79574133122867,1,1.28101588133002,0.00986941834349605,1,0.653268514112065,0.244340874444128,1
"Aamp",0.416,0.359,0.357,0.382,-0.211848662297136,0.293941369134117,1,-0.199357718113939,0.322301416264865,1,0.105780718809572,0.8623678163759,1
"Aanat",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Aar2",0.006,0.021,0.035,0.027,1.25471913762179,0.236764915883869,1,1.91106627157971,0.065908834786387,1,1.65326851411206,0.137097559799056,1
"Aard",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Aars",0.104,0.062,0.174,0.2,-0.671280280934433,0.182722103993267,1,0.733528086027524,0.0880193776904204,1,1.0491971904432,0.0216437017884605,1
"Aarsd1",0.046,0.062,0.096,0.155,0.40672223106684,0.533939990793931,1,1.00417567597119,0.0992481781022044,1,1.65326851411207,0.00182088616805352,1
"Aasdh",0.023,0.007,0.026,0.009,-1.06720895726557,0.248643779628378,1,0.267210081804987,0.875201474835672,1,-0.668659580775298,0.385134357302521,1
"Aasdhppt",0.029,0.048,0.165,0.155,0.669756636900634,0.368380365293917,1,2.58913817669235,3.92993992162321e-05,0.646317919510152,2.23823101483322,0.000125414172396953,1
"Aass",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Aatf",0.035,0.034,0.061,0.036,0.0323267162853424,0.993827461377133,1,0.781783254634746,0.296396065445713,1,0.167841686941824,0.942435388616778,1
"Aatk",0.017,0.041,0.026,0.027,1.06207405967939,0.199457925421661,1,0.58913817669235,0.613483421842957,1,0.653268514112065,0.574575297395929,1
"AB124611",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abat",0.012,0,0,0.009,-1.33024336309937,0.196257004201356,1,-0.995824324028806,0.250137362506031,1,0.0683060133909086,0.846799231456432,1
"Abca1",0.48,0.6,0.487,0.5,0.344916946593368,0.0464613985998011,1,-0.0431300388071635,0.887537034136126,1,0.142015699573918,0.66569052515452,1
"Abca12",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abca13",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abca14",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abca16",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abca17",0.006,0.007,0,0,0.25471913762179,0.903902596956581,1,-0.41086182330765,0.418960426162498,1,-0.346731485887935,0.429442765345535,1
"Abca2",0.023,0.007,0.017,0.055,-1.06720895726557,0.248643779628378,1,-0.147827417473857,0.7414561596567,1,1.13869534128231,0.164343636616575,1
"Abca3",0.249,0.145,0.2,0.2,-0.870811744462069,0.0189677827367882,1,-0.295384605887715,0.347015678772486,1,-0.346731485887935,0.333782266376819,1
"Abca4",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abca5",0,0,0,0.018,0.25471913762179,1,1,0.58913817669235,1,1,2.23823101483322,0.0764693180927346,1
"Abca6",0,0,0,0.009,0.25471913762179,1,1,0.58913817669235,1,1,2.23823101483322,0.212457932708006,1
"Abca7",0.064,0.041,0.07,0.082,-0.522888441041762,0.382490240894954,1,0.174100677413506,0.842974861990602,1,0.527737632028206,0.54908250696344,1
"Abca8a",0,0,0,0.027,0.25471913762179,1,1,0.58913817669235,1,1,2.97519660899943,0.0295811547971931,1
"Abca8b",0.012,0,0,0.009,-1.33024336309937,0.196257004201356,1,-0.995824324028806,0.250137362506031,1,0.0683060133909086,0.846799231456432,1
"Abca9",0.006,0.014,0,0,0.839681638342946,0.46455961454637,1,-0.41086182330765,0.418960426162498,1,-0.346731485887935,0.429442765345535,1
"Abcb10",0.017,0.021,0.043,0.055,0.25471913762179,0.829271124671462,1,1.17410067741351,0.187869110865713,1,1.82319351555438,0.0805219545258972,1
"Abcb11",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abcb1a",0.757,0.848,0.774,0.736,-0.0445059066288036,0.77246454450888,1,-0.0950487029316499,0.678055356087914,1,-0.241685461728755,0.345794602626134,1
"Abcb1b",0.017,0,0.009,0.027,-1.74528086237821,0.11250130957705,1,-0.41086182330765,0.542296347511844,1,0.653268514112065,0.574575297395929,1
"Abcb4",0,0,0.009,0.009,0.25471913762179,1,1,1.58913817669235,0.222681455310608,1,1.65326851411206,0.212457932708006,1
"Abcb6",0.017,0.014,0.035,0.036,0.25471913762179,0.809142417566635,1,0.911066271579712,0.348802531077622,1,0.975196608999427,0.317461693841705,1
"Abcb7",0.058,0.062,0.104,0.136,0.117215613871855,0.874461075801005,1,0.830146276196144,0.146840096559479,1,1.28129973672511,0.0226491498115421,1
"Abcb8",0.023,0.014,0.017,0.064,-0.482246456544416,0.544952486274586,1,-0.147827417473857,0.7414561596567,1,1.3313404192247,0.0866799484212444,1
"Abcb9",0,0.014,0.026,0.018,1.83968163834295,0.12290401827477,1,2.58913817669235,0.0333626840690632,1,2.23823101483322,0.0764693180927346,1
"Abcc1",0.058,0.028,0.078,0.118,-0.882784386128145,0.192239621274708,1,0.451634652942414,0.495515342853166,1,1.19383689547477,0.0660451113228804,1
"Abcc10",0.012,0.014,0.009,0.027,0.25471913762179,0.861509107281779,1,0.00417567597119373,0.818075696686688,1,1.06830601339091,0.330576569579589,1
"Abcc12",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abcc2",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abcc3",0.023,0,0,0,-2.06720895726557,0.0662809199987553,1,-1.73278991819501,0.101921657791754,1,-1.6686595807753,0.109677180073056,1
"Abcc4",0.208,0.303,0.278,0.145,0.630228272713997,0.04207336482098,1,0.424078930421853,0.17589493774962,1,-0.308257338073299,0.199716202038812,1
"Abcc5",0.104,0.145,0.243,0.182,0.617289217006499,0.263758263355623,1,1.10371134952211,0.00186737305364771,1,1.01583859349677,0.0537908316569795,1
"Abcc6",0.029,0.062,0.052,0.064,1.12918825553793,0.149739508058073,1,0.811530598028797,0.314897059212319,1,1.06830601339091,0.159000288412466,1
"Abcc8",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abcc9",0.035,0.103,0.035,0.064,2.14224440836338,0.0135258053055869,1,-0.410861823307651,0.990913359969018,1,1.23823101483322,0.253411634336839,1
"Abcd1",0.191,0.214,0.165,0.2,0.129188255537931,0.629366190649007,1,-0.188469401971203,0.579227892942807,1,0.0683060133909086,0.858672951615818,1
"Abcd2",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abcd3",0.127,0.069,0.139,0.127,-0.870811744462069,0.0843677381500944,1,0.0916385172215328,0.78542015976626,1,-0.0248033910005727,0.98867300024495,1
"Abcd4",0.069,0.055,0.061,0.045,-0.27579557907699,0.605461286070298,1,0.0586234599935698,0.793280091969528,1,-0.462208703307871,0.41145692172676,1
"Abce1",0.127,0.131,0.261,0.218,0.123474604343538,0.900963685822366,1,1.15303906188568,0.00340655411528345,1,0.830146276196145,0.0410431351821024,1
"Abcf1",0.104,0.083,0.087,0.145,-0.292768657680703,0.51986606452566,1,-0.0738268360300802,0.651425205132919,1,0.492803841918819,0.299091752817271,1
"Abcf2",0.104,0.083,0.157,0.145,-0.185853453764191,0.533457818981579,1,0.589138176692349,0.189744209421181,1,0.492803841918819,0.299091752817271,1
"Abcf3",0.087,0.055,0.061,0.136,-0.662818702186237,0.27618512895246,1,-0.49832466455799,0.414316915190413,1,0.565805672861726,0.194351671364681,1
"Abcg1",0.277,0.262,0.313,0.318,0.0137110381179952,0.809528069634269,1,0.246250463169341,0.470022972932413,1,0.274756890858335,0.442578163186809,1
"Abcg2",0.809,0.71,0.809,0.664,-0.259854035207968,0.0301799421534314,1,0.151732864385051,0.599085582520452,1,-0.292283701865558,0.0584728375387721,1
"Abcg3",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abcg4",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abcg5",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abcg8",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abhd10",0.064,0.069,0.078,0.064,0.129188255537931,0.848845984733198,1,0.326103770858555,0.633372026635667,1,0.068306013390909,1,1
"Abhd11",0.087,0.062,0.061,0.055,-0.423352767490848,0.409447305929866,1,-0.410861823307651,0.421052386691151,1,-0.539376563830331,0.316467007956337,1
"Abhd12",0.104,0.028,0.07,0.118,-1.48224645654442,0.00803961160824587,1,-0.410861823307651,0.326115855335023,1,0.138695341282307,0.725487813895582,1
"Abhd13",0.092,0.097,0.122,0.136,0.0741468919799693,0.902939523853926,1,0.408565931050529,0.428599418349897,1,0.565805672861726,0.251758794384126,1
"Abhd14a",0.017,0.014,0,0.064,-0.160318361657054,0.802547004196704,1,-1.41086182330765,0.157660368342099,1,2.11270013274936,0.0383658218452456,1
"Abhd14b",0.046,0.055,0.104,0.118,0.10271604417674,0.728090167375621,1,1.26721008180499,0.0588303227946862,1,1.3313404192247,0.0245014071498107,1
"Abhd15",0.006,0,0.017,0,-0.74528086237821,0.363248970038948,1,1.17410067741351,0.344797854578575,1,-0.346731485887935,0.429442765345535,1
"Abhd16a",0.104,0.097,0.165,0.191,-0.160318361657053,0.813316834576224,1,0.659527504583747,0.130139635080147,1,0.854902375281716,0.0397174135864897,1
"Abhd17a",0.647,0.628,0.583,0.509,0.116272367652646,0.596700297560953,1,-0.176396569670628,0.338614068727847,1,-0.211801905801826,0.0917177276332337,1
"Abhd17b",0.277,0.152,0.235,0.3,-0.772761598800317,0.00750924724728453,1,-0.184585967483975,0.442109269281669,1,0.317665482327626,0.575538546907414,1
"Abhd17c",0.225,0.193,0.183,0.182,-0.102832866996294,0.532614668639308,1,-0.244851871868721,0.392745750204723,1,-0.244851871868721,0.391478611798446,1
"Abhd18",0.017,0.007,0.052,0.009,-0.74528086237821,0.407749257216465,1,1.39649309874995,0.0972441724286411,1,-0.346731485887935,0.569736876045507,1
"Abhd2",0.769,0.697,0.687,0.7,-0.379689431018265,0.0672181854087701,1,-0.470403768962056,0.0414705702169639,1,-0.19550633532552,0.109245890618773,1
"Abhd3",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abhd4",0.15,0.138,0.122,0.164,-0.107850941762918,0.757106846495036,1,-0.258858729862601,0.495737882314029,1,0.220309106835959,0.740576502636694,1
"Abhd5",0.145,0.124,0.174,0.164,-0.12379248563194,0.616191054163221,1,0.281015881330017,0.50441568975299,1,0.200756309414558,0.664997746664248,1
"Abhd6",0.052,0.062,0.104,0.027,0.25471913762179,0.701159753711803,1,0.967649799946079,0.0956001679111037,1,-0.668659580775298,0.315869891795036,1
"Abhd8",0.052,0.048,0.122,0.155,0.117215613871855,0.894524184324651,1,1.03659715366357,0.0348202075254942,1,1.44176440891835,0.00383940313699768,1
"Abi1",0.457,0.407,0.409,0.436,-0.264655021471789,0.256751607456284,1,-0.164701236038253,0.4067294106486,1,0.00836347293462669,0.86542819601592,1
"Abi2",0.081,0.083,0.052,0.145,0.0620740596793943,0.951660288315507,1,-0.603506901250046,0.343906589392766,1,0.90119602755565,0.0835853391546588,1
"Abi3",0.301,0.234,0.278,0.273,-0.305995816852689,0.192216352401157,1,-0.0455773592259063,0.732556742632221,1,0.0185529781938094,0.712848031267213,1
"Abi3bp",0.006,0,0.009,0.018,-0.74528086237821,0.363248970038948,1,0.58913817669235,0.774687818602386,1,1.23823101483322,0.323632701643204,1
"Abitram",0.012,0.041,0.052,0.045,1.47711155895824,0.0917856926632687,1,1.8115305980288,0.0405914238341199,1,1.65326851411206,0.0745250694606528,1
"Abl1",0.191,0.179,0.287,0.109,-0.0778562014650808,0.79619772959161,1,0.589138176692349,0.0605204454605022,1,-0.733754608997182,0.0691129485191435,1
"Abl2",0.214,0.228,0.2,0.3,0.180718556178014,0.717557152316062,1,-0.088933728420288,0.770853384791728,1,0.579267932668288,0.101138583938388,1
"Ablim1",0.844,0.862,0.8,0.818,0.0644410742233104,0.777021057899044,1,-0.0790182595552055,0.606037330717097,1,-0.138623290557735,0.227534333384701,1
"Ablim2",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Ablim3",0.075,0.131,0.096,0.1,1.03232671628534,0.0907807489321298,1,0.688673850243264,0.513649408953785,1,0.845913592054461,0.442080297105569,1
"Abo",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Abr",0.104,0.055,0.157,0.145,-0.967673283714658,0.109448351331428,1,0.656252372550886,0.187976539754984,1,0.50887860477689,0.295739459203623,1
"Abracl",0.22,0.145,0.183,0.136,-0.607777338628275,0.0846190802706725,1,-0.209227962138,0.457906081973777,1,-0.668659580775297,0.0780196370930926,1
"Abraxas1",0.012,0.014,0.026,0.045,0.25471913762179,0.861509107281779,1,1.00417567597119,0.357822817401116,1,1.65326851411206,0.0745250694606528,1
"Abraxas2",0.069,0.034,0.087,0.082,-0.860758079798146,0.169813199635509,1,0.348130077188554,0.584119908904347,1,0.274756890858335,0.698811093772418,1
"Abt1",0.04,0.048,0.035,0.036,0.25471913762179,0.736946031721957,1,-0.0889337284202885,0.807512544286244,1,-0.0248033910005727,0.863973949426228,1
"Abtb1",0.052,0.062,0.087,0.109,0.117215613871855,0.711255095119655,1,0.589138176692349,0.250554166862095,1,1.00119181753237,0.075855896902869,1
"Abtb2",0.046,0.034,0.026,0.055,-0.482246456544416,0.593508202420092,1,-0.732789918195013,0.380584271170603,1,0.331340419224702,0.752495685171781,1
"AC150683.1",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"AC151602.1",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Acaa1a",0.012,0,0.035,0.018,-1.33024336309937,0.196257004201356,1,1.58913817669235,0.176415422411118,1,0.653268514112065,0.648763942893725,1
"Acaa1b",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Acaa2",0.237,0.241,0.243,0.173,0.0107935547357012,0.943300436289802,1,0.0514813907495499,0.90226689817001,1,-0.446267159438849,0.193412355996045,1
"Acaca",0.012,0.034,0.078,0.136,1.25471913762179,0.166715693672851,1,2.32610377085856,0.00392061568120859,1,3.06830601339091,1.74843834960715e-05,0.287548170976392
"Acacb",0.064,0.083,0.122,0.145,0.370196355041726,0.512816686793121,1,0.911066271579712,0.0872750963988541,1,1.15576885464125,0.0228480407927073,1
"Acad10",0.012,0.014,0.035,0,0.25471913762179,0.861509107281779,1,1.32610377085856,0.178309041644887,1,-0.931693986609091,0.260780192463355,1
"Acad11",0.029,0.034,0.061,0.073,0.25471913762179,0.778321723216354,1,1.00417567597119,0.18522024964486,1,1.52773763202821,0.0851209737233107,1
"Acad12",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Acad8",0.064,0.034,0.07,0.145,-0.74528086237821,0.238635230031921,1,0.463607294608491,0.828443552421141,1,1.15576885464125,0.0228480407927073,1
"Acad9",0.052,0.069,0.104,0.045,0.392222661371725,0.52740106445881,1,0.967649799946079,0.0956001679111037,1,0.138695341282306,0.819568304607521,1
"Acadl",0.584,0.448,0.513,0.418,-0.458976677221569,0.0108104498420683,1,-0.0314482337595283,0.575205854913564,1,-0.588806273086083,0.00340442259375789,1
"Acadm",0.064,0.069,0.078,0.073,0.129188255537931,0.848845984733198,1,0.326103770858555,0.633372026635667,1,0.238231014833221,0.766379012531337,1
"Acads",0.064,0.097,0.078,0.045,0.461170015089217,0.286244270115585,1,0.210626553438619,0.643668966753223,1,-0.462208703307871,0.515732336167031,1
"Acadsb",0.179,0.124,0.2,0.2,-0.541747468293078,0.171166508897711,1,0.188600247108621,0.653084740496315,1,0.193836895474768,0.656257164334342,1
"Acadvl",0.035,0.076,0.113,0.082,0.839681638342946,0.108632694903714,1,1.49602877230087,0.00918348067981031,1,1.65326851411207,0.0797186028393491,1
"Acan",0,0,0,0,0.25471913762179,1,1,0.58913817669235,1,1,0.653268514112065,1,1
"Acap1",0,0.014,0.009,0,1.83968163834295,0.12290401827477,1,1.58913817669235,0.222681455310608,1,0.653268514112065,1,1
"Acap2",0.231,0.276,0.322,0.236,0.447364215564186,0.298080744390155,1,0.518748848800952,0.0830127489313115,1,0.348413932583644,0.751774243591517,1
"Acap3",0.185,0.186,0.243,0.209,-0.0253887815709453,0.997824021472901,1,0.408565931050528,0.231178447106227,1,0.320693175025194,0.564398414544867,1
