"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"A2m",0,0.009,0,0,3.29444735846525,0.271804039396671,1,1.56293619439116,1,1,1.46777896135082,1,1
"A3galt2",0.008,0.009,0.023,0.021,0.294447358465255,0.889577672275888,1,1.56293619439116,0.425451921627468,1,1.46777896135082,0.456943203797842,1
"A4galt",0.492,0.453,0.386,0.298,-0.183599938339389,0.520306083398375,1,-0.400537929583729,0.201939749014019,1,-0.817623257511431,0.0166175165916789,1
"AA467197",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"AA792892",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"AA986860",0.008,0,0,0.021,-0.705552641534745,0.371071673489611,1,0.562936194391157,0.569659985366665,1,1.46777896135082,0.456943203797842,1
"Aaas",0.046,0.057,0.091,0.021,0.294447358465256,0.718826976064312,1,1.07750936722092,0.273761645748473,1,-0.339575960706787,0.457652625075767,1
"Aacs",0.069,0.038,0.136,0.064,-0.705552641534745,0.293881657239819,1,1.0483630215614,0.173180811402208,1,0.467778961350817,0.930107157598884,1
"Aadacl2",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Aadacl4",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Aagab",0.031,0.057,0.136,0.128,0.516839779801703,0.337753099453219,1,1.97797369367,0.00987414549704543,1,1.69017138268726,0.0151312529454849,1
"Aak1",0.015,0.009,0.091,0.106,-0.290515142255901,0.689098692690624,1,2.56293619439116,0.0177101835687963,1,2.69017138268726,0.00614113734958081,1
"Aamdc",0.077,0.028,0.068,0.106,-1.16498426017204,0.104859697164838,1,0.10350457575386,0.852380963424889,1,0.593309843434676,0.538231256965873,1
"Aamp",0.323,0.415,0.318,0.404,0.498805856971442,0.103299094554902,1,0.0393742383341442,0.954168684396719,1,0.403648623931101,0.295524878615144,1
"Aanat",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Aar2",0.008,0.047,0.023,0.064,1.87940985918641,0.0563091608572845,1,1.56293619439116,0.425451921627468,1,2.78970705623818,0.0269067405121362,1
"Aard",0.008,0.009,0,0.021,0.294447358465255,0.889577672275888,1,0.562936194391157,0.569659985366665,1,1.46777896135082,0.456943203797842,1
"Aars",0.108,0.085,0.159,0.255,-0.2905151422559,0.559918214275446,1,0.977973693670001,0.325038533643143,1,1.26132808388339,0.0150851433218147,1
"Aarsd1",0.092,0.057,0.114,0.191,-0.598637437618233,0.306534240753946,1,0.447458976971221,0.68429698825754,1,1.35230174393088,0.0623403085433034,1
"Aasdh",0.023,0.028,0,0.043,-0.0274807364221079,0.811079640593398,1,-0.758991900496206,0.314499058564989,1,0.730813367184611,0.502030107700366,1
"Aasdhppt",0.069,0.038,0.136,0.191,-0.84305616528468,0.289243115259019,1,0.910859497811464,0.179536060724301,1,1.33027543760088,0.0194172118543103,1
"Aass",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Aatf",0.031,0.019,0,0.043,-0.442518235700951,0.566683915367882,1,-0.758991900496206,0.243209206809809,1,0.730813367184611,0.706821064836075,1
"Aatk",0.069,0.047,0.045,0.298,-0.442518235700951,0.478125915684564,1,-0.174029399775049,0.579532695612611,1,3.00383186159103,4.08744386915136e-05,0.672221018720633
"AB124611",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abat",0,0,0,0.021,0.294447358465255,1,1,1.56293619439116,1,1,2.46777896135082,0.0988767717947155,1
"Abca1",0.062,0.094,0.045,0.149,1.12452235702294,0.314242934590896,1,0.393011192948845,0.721556369818715,1,1.46777896135082,0.0625763912512861,1
"Abca12",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abca13",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abca14",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abca16",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abca17",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abca2",0.015,0.019,0.045,0.064,-0.120590140813588,0.847035990055627,1,1.14789869511231,0.259730030923451,1,1.78970705623818,0.0888813103111302,1
"Abca3",0.008,0.009,0,0.021,0.879409859186412,0.884809497725179,1,0.562936194391157,0.569659985366665,1,1.46777896135082,0.456943203797842,1
"Abca4",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abca5",0.077,0.075,0.045,0.106,-0.236067358233525,0.941852310430312,1,-0.552541023028779,0.470564786189672,1,0.352301743930881,0.56083877567414,1
"Abca6",0.015,0.009,0.023,0.064,-0.290515142255901,0.689098692690624,1,0.977973693670001,0.752915698453104,1,1.88281646062966,0.0878089436979161,1
"Abca7",0.115,0.189,0.159,0.043,0.686764781244015,0.117756701805271,1,0.884864289278519,0.427405111008555,1,-0.947258537928027,0.149176748815989,1
"Abca8a",0.008,0.028,0.045,0.064,1.29444735846525,0.225085890172404,1,2.14789869511231,0.0987864905901208,1,3.46777896135082,0.0264686835396962,1
"Abca8b",0,0.009,0.023,0.149,1.29444735846525,0.271804039396671,1,2.56293619439116,0.0880719637411242,1,4.92721057998811,7.76777930328795e-06,0.127748898421874
"Abca9",0.162,0.179,0.136,0.128,0.142444265020206,0.734116585979838,1,0.115477217419936,0.722508886346283,1,0.145850866463455,0.678342471297593,1
"Abcb10",0.069,0.028,0.068,0.106,-1.02748073642211,0.15635175909753,1,0.241008099503795,0.984278572542576,1,0.730813367184611,0.422528061086157,1
"Abcb11",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abcb1a",0.131,0.085,0.023,0.021,-0.553549548089694,0.265858578065246,1,-1.60698880705116,0.0432866419353778,1,-1.7021460400915,0.0344142395329594,1
"Abcb1b",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abcb4",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Abcb6",0.008,0,0.045,0.021,-1.2905151422559,0.371071673489611,1,1.56293619439116,0.101959409266728,1,0.882816460629661,0.462450416363592,1
"Abcb7",0.054,0.085,0.182,0.043,0.616375453352618,0.347680717941335,1,1.73286119583347,0.00933220087936853,1,0.0527414620719733,0.766718218779067,1
"Abcb8",0,0,0.045,0,0.294447358465255,1,1,3.14789869511231,0.0151613744677335,1,1.46777896135082,1,1
"Abcb9",0.023,0.009,0,0.043,-0.705552641534745,0.422785015149804,1,-0.437063805608843,0.314504479540738,1,1.05274146207197,0.494715400222777,1
