"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"A2m",0.858,0.793,0.823,0.794,-0.918773632702019,3.09322459485936e-51,5.0871171687057e-47,-0.720087944860192,2.4138856653549e-36,3.96987636524267e-32,-0.772035101286944,3.68494183807694e-46,6.06025534690134e-42
"A3galt2",0,0,0.001,0.002,0.508166488341923,0.399360093624678,1,1.47675739241559,0.127672110517482,1,1.88660648894554,0.104022601496165,1
"A4galt",0.001,0,0,0,-1.49183351165808,0.235886626445626,1,-2.10820510830557,0.14214797476847,1,-0.920748433112063,0.646436562403815,1
"AA467197",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"AA792892",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,0.0792515668879368,0.467621948241451,1
"AA986860",0.009,0.004,0.007,0.009,-0.99433385218726,0.0594871856535802,1,-0.388313027498306,0.569686165186805,1,0.0361828449960511,0.781937686074447,1
"Aaas",0.019,0.023,0.026,0.027,0.229450460275859,0.432091475516649,1,0.396587043731602,0.147354239090954,1,0.454760701980144,0.0731831817160551,1
"Aacs",0.016,0.018,0.023,0.026,0.367988830293664,0.636514817529804,1,0.721869890252117,0.0838055923535143,1,0.953720684804079,0.019456139981096,1
"Aadacl2",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Aadacl4",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Aagab",0.07,0.082,0.083,0.081,0.229763681084925,0.165753405024615,1,0.100473378579003,0.128212168686781,1,0.2027906012981,0.171865863114642,1
"Aak1",0.061,0.06,0.072,0.073,-0.0739809967721787,0.838326405312946,1,0.158581432389331,0.159295958908146,1,0.24917656833025,0.114133541334172,1
"Aamdc",0.168,0.2,0.208,0.196,0.221480814443484,0.0101922029771127,1,0.186091867604601,0.00153260256016553,1,0.153545349235252,0.0227654673049324,1
"Aamp",0.156,0.179,0.163,0.165,0.145891649936632,0.0785389642376317,1,-0.0514625965194724,0.650746081855418,1,-0.0191035050906367,0.532406989843646,1
"Aanat",0.039,0.067,0.057,0.05,0.790566219042648,0.00016763159751245,1,0.450525850842405,0.00805043712588065,1,0.337403751341985,0.0814311891880056,1
"Aar2",0.02,0.017,0.02,0.019,-0.109962876314432,0.481606770249543,1,0.0173257737782881,0.997064685141536,1,0.0348574475294843,0.906929791308055,1
"Aard",0.005,0.005,0.004,0.005,-0.269441090321629,0.902411188545158,1,-0.605704767776387,0.351364137069542,1,-0.418248092582878,0.760452735301952,1
"Aars",0.11,0.117,0.126,0.126,0.04719270489622,0.536581801660932,1,0.135172338160213,0.110530064670183,1,0.148466061619226,0.128979293181425,1
"Aarsd1",0.057,0.06,0.063,0.074,-0.0402701363541191,0.659020610463089,1,0.0326574275342786,0.36910097733716,1,0.343313167525459,0.0267403297311488,1
"Aasdh",0.004,0,0.003,0.005,-3.66175851310039,0.00365669412491465,1,-0.577690391606791,0.747765351359043,1,0.0792515668879386,0.472607447938814,1
"Aasdhppt",0.046,0.053,0.058,0.065,0.157479400473137,0.337683820470182,1,0.216757046671425,0.0683234201115534,1,0.422285294786952,0.00789045822549002,1
"Aass",0.021,0.026,0.028,0.032,0.29476285023273,0.387843137358213,1,0.324754298970535,0.161702888700684,1,0.498790458401722,0.0431775505536567,1
"Aatf",0.024,0.016,0.021,0.019,-0.617364393741935,0.0638706692016719,1,-0.266902854324629,0.508305381496504,1,-0.461316814474765,0.301284870667236,1
"Aatk",0,0.001,0.001,0.002,3.41505708395044,0.144104151693389,1,0.891794891694429,0.335551318426755,1,2.53868318552523,0.0543574503707952,1
"AB124611",0,0,0,0.001,-0.491833511658077,1,1,-1.10820510830557,1,1,0.664214067609093,0.304118383374333,1
"Abat",0.197,0.252,0.275,0.229,0.343985469434415,5.21904555806812e-05,0.858324232479883,0.414021637067623,5.72854594296433e-09,9.42116665779914e-05,0.145900602323006,0.0163450141837413,1
"Abca1",0.308,0.261,0.282,0.271,-0.394734823552995,0.000288010612945661,1,-0.341596528591276,0.00652160045008146,1,-0.377785158044297,0.0010938294012362,1
"Abca12",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
