"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"A2m",0.037,0,0.002,0.025,-3.42555072596152,0.00574761017340371,1,-3.04346364848396,0.000233227691182144,1,-0.65303561654912,0.409692616345719,1
"A3galt2",0.027,0.01,0.015,0.011,-1.10362263107416,0.21599981073345,1,-0.7215355535966,0.323334209077102,1,-1.10871510032531,0.129739543208234,1
"A4galt",0.011,0,0.009,0,-1.68858513179531,0.143146180965866,1,-0.306498054317756,0.808343274186168,1,-2.91607002238291,0.0249278666346282,1
"AA467197",0,0.005,0,0.002,2.21830546381321,0.337260175825304,1,-1.30649805431776,1,1,-0.331107521661758,0.530598125263707,1
"AA792892",0,0,0,0.002,-0.103622631074157,1,1,-1.30649805431776,1,1,0.253854979059398,0.530598125263707,1
"AA986860",0,0.005,0.006,0.011,0.896377368925843,0.337260175825304,1,0.693501945682244,0.270873704387373,1,1.2538549790594,0.15780405345493,1
"Aaas",0.053,0.035,0.067,0.057,-0.393129248269142,0.378455326872836,1,0.234070327044947,0.521364324200021,1,0.116351455309463,0.836063840445551,1
"Aacs",0.144,0.149,0.163,0.156,0.0383963737982707,0.89368441431988,1,0.210560381901596,0.509875962147885,1,0.150761486095295,0.656719549969869,1
"Aadacl2",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Aadacl4",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Aagab",0.218,0.272,0.206,0.247,0.229801102651034,0.216164654054679,1,-0.11746422992774,0.773779783482937,1,0.214860847443535,0.346219892221786,1
"Aak1",0.42,0.495,0.465,0.425,0.0524965708431245,0.354213083113974,1,-0.00951631656062479,0.570855362990291,1,0.00449551012268123,0.914183594731615,1
"Aamdc",0.096,0.114,0.112,0.072,0.329336776201949,0.543744664443558,1,0.302311188357768,0.522496297234168,1,-0.193603997911823,0.334876149912425,1
"Aamp",0.234,0.292,0.265,0.281,0.229801102651034,0.231388131395746,1,0.12646135295835,0.444489786663281,1,0.373764442794595,0.171355826235808,1
"Aanat",0.016,0,0.004,0.006,-2.10362263107416,0.0723306653542169,1,-1.30649805431776,0.123569722797127,1,-1.33110752166176,0.240557321267486,1
"Aar2",0.048,0.015,0.034,0.021,-1.42555072596152,0.0597507844302141,1,-0.458501147762806,0.421214488323916,1,-1.19360399791182,0.0638653713505128,1
