"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"A2m",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"A3galt2",0.004,0.008,0.019,0.01,0.727161112819572,0.507643744700368,1,1.63107824117417,0.0820048273966947,1,1.10251491062593,0.323252896480574,1
"A4galt",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"AA467197",0,0,0,0.005,0.142198612098417,1,1,-0.176276680883429,1,1,1.10251491062593,0.232007331840125,1
"AA792892",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"AA986860",0.011,0.016,0.01,0.016,0.464126706985779,0.609820112639894,1,-0.17627668088343,0.881566166070123,1,0.68747741134709,0.606406945490982,1
"Aaas",0.072,0.084,0.096,0.062,0.142198612098416,0.633032182836828,1,0.318488010866148,0.311219268816875,1,-0.298023018957795,0.595506141957889,1
"Aacs",0.119,0.08,0.083,0.085,-0.683771988126535,0.123448291481425,1,-0.461678899745678,0.146679615370912,1,-0.638566792012504,0.136713058098212,1
"Aadacl2",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Aadacl4",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Aagab",0.31,0.235,0.288,0.264,-0.471618751294925,0.0388724724486254,1,-0.162062821663729,0.4720020825623,1,-0.233768477238498,0.173898761663627,1
"Aak1",0.477,0.474,0.406,0.377,0.0514331481752341,0.990853758437562,1,-0.132949249219329,0.127119622340544,1,-0.364266163746908,0.00695869903249202,1
"Aamdc",0.097,0.072,0.089,0.111,-0.46785486958557,0.285699719754605,1,0.0101364433474513,0.758526524307021,1,0.183133370834219,0.570329790347857,1
"Aamp",0.202,0.179,0.214,0.23,-0.102913885738115,0.528915992924225,1,-0.00635167944111759,0.787652873966556,1,0.0567112210128093,0.470021041270059,1
