"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"A2m",0.639065745876236,-2.15892250738484,0.037,0.051,0,0.506596846496214,-0.544253051703192,0.086,0.051,0
"A3galt2",0.169706943216068,-1.86941589018986,0.016,0.051,0,0.359797819960871,-1.05444778402238,0.025,0.051,0
"A4galt",0.9846977925135,-0.699490888747543,0.026,0.026,0,0.981214414487839,-0.46948528330122,0.025,0.026,0
"AA467197",1,-2.2844533894687,0,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"AA792892",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"AA986860",0.216882875109519,-2.2844533894687,0.005,0.026,0,0.139642365297146,-2.63941028474353,0.004,0.026,0
"Aaas",0.873825064292175,-0.2844533894687,0.058,0.051,0,0.456241940278251,0.299189170592324,0.086,0.051,0
"Aacs",0.0508377011629517,-1.8250217708314,0.047,0.128,0,0.0216723548362565,-2.17997866610624,0.041,0.128,0
"Aadacl2",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Aadacl4",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Aagab",0.354560813054452,0.239108566588313,0.437,0.359,0,0.603915559686382,0.193479729421209,0.391,0.359,0
"Aak1",0.00429050853225943,-0.840846737993085,0.316,0.564,0,0.000756366812309434,-1.01647993382336,0.292,0.564,0
"Aamdc",0.164347628343981,-1.06206096813225,0.063,0.128,0,0.0383763807510966,-1.63941028474353,0.045,0.128,0
"Aamp",0.667840579631207,0.207399706860975,0.205,0.179,0,0.394863244841548,0.337869638756384,0.239,0.179,0
"Aanat",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Aar2",0.226227561621731,0.715546610531301,0.037,0,0,0.575282694255921,-0.639410284743532,0.008,0,0
"Aard",1,-2.2844533894687,0,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Aars",0.806976275640805,-0.252031911776322,0.216,0.231,0,0.930470421297339,-0.0988419033808297,0.239,0.231,0
"Aarsd1",0.343309347781853,-0.632376692889006,0.1,0.154,0,0.881607308826306,-0.237311841172187,0.144,0.154,0
"Aasdh",0.359447449363207,0.415986328672393,0.063,0.026,0,0.575837273992211,-0.0544477840223765,0.045,0.026,0
"Aasdhppt",0.387212220312812,0.359402800306025,0.126,0.077,0,0.664546837706188,0.0610294333975596,0.099,0.077,0
"Aass",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Aatf",0.263902603798727,0.522901532588905,0.032,0,0,0.199116670152587,0.820021333893765,0.041,0,0
"Aatk",0.979175714251009,-0.082819528299049,0.568,0.538,0,0.365204756206845,-0.336847514723101,0.49,0.538,0
"AB124611",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abat",0.739560796236998,0.037474705418663,0.121,0.103,0,0.818077555049114,-0.376375878909739,0.091,0.103,0
"Abca1",0.132761415006918,0.622437206139819,0.211,0.103,0,0.0694959928585193,0.841716404993084,0.235,0.103,0
"Abca12",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abca13",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abca14",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abca16",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abca17",0.658892422553708,-1.2844533894687,0.005,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Abca2",0.55382796280878,-0.477098467411095,0.142,0.179,0,0.344336064683644,-0.639410284743533,0.123,0.179,0
"Abca3",0.87002073727684,-0.409984271552558,0.095,0.103,0,0.44976359186253,-1.05444778402238,0.07,0.103,0
"Abca4",0.391712652261613,0.415986328672393,0.095,0.051,0,0.817460300571502,-0.179978666106235,0.062,0.051,0
"Abca5",0.653368568954447,-0.0750000238397499,0.189,0.154,0,0.712277680890391,-0.0544477840223765,0.181,0.154,0
"Abca6",0.526149715782071,-0.699490888747543,0.011,0,0,1,-2.63941028474353,0,0,0
"Abca7",0.263902603798727,0.522901532588905,0.032,0,0,0.423504597966161,-0.31748218985617,0.016,0,0
"Abca8a",0.446522184046865,-2.69949088874754,0.011,0.026,0,0.956183751648905,-1.83205536268593,0.025,0.026,0
"Abca8b",0.263902603798727,0.522901532588905,0.032,0,0,0.285792067838766,0.360589715256468,0.029,0,0
"Abca9",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abcb10",0.548817222667015,0.0374747054186635,0.047,0.026,0,0.51239320021625,0.167944637314072,0.049,0.026,0
"Abcb11",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abcb1a",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abcb1b",0.216882875109519,-2.2844533894687,0.005,0.026,0,0.0129232021820303,-3.63941028474353,0,0.026,0
"Abcb4",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abcb6",0.167782578785897,1.03747470541866,0.047,0,0,0.125664045449697,1.26748031086499,0.058,0,0
"Abcb7",0.815264600065232,-0.0828195282990487,0.116,0.103,0,0.819222503056577,-0.103357384503323,0.115,0.103,0
"Abcb8",0.776014444117096,-0.0620609681322515,0.063,0.051,0,0.376197074578244,0.419483404310036,0.095,0.051,0
"Abcb9",0.920139719565921,-0.547487795302493,0.047,0.051,0,0.801615662177633,-0.224372785464689,0.062,0.051,0
"Abcc1",0.185247187793093,0.80300945178164,0.158,0.077,0,0.093291732111383,0.975299559371675,0.185,0.077,0
"Abcc10",0.553717861405764,-0.825021770831402,0.053,0.077,0,0.484419212808187,-0.832055362685928,0.049,0.077,0
"Abcc12",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abcc2",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abcc3",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abcc4",0.658892422553708,-1.2844533894687,0.005,0,0,1,-2.63941028474353,0,0,0
"Abcc5",0.437608909400609,-0.112272414086019,0.842,0.846,0,0.824785553707919,0.040565330837844,0.901,0.846,0
"Abcc6",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Abcc8",0.691026213607151,0.00505322772628558,0.211,0.179,0,0.895011507834106,-0.254746434508208,0.173,0.179,0
