"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"A2m",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"A3galt2",0.415704379568247,-0.462971976342545,0,0.014,0,0.410989825903103,-0.490986352512142,0,0.014,0
"A4galt",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"AA467197",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"AA792892",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"AA986860",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Aaas",0.166722835267278,-1.0479344770637,0.039,0.108,0,0.328729145250719,-0.660911353954455,0.058,0.108,0
"Aacs",0.542756198578542,0.537028023657454,0.098,0.068,0,0.354408637223059,0.731406068824306,0.115,0.068,0
"Aadacl2",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Aadacl4",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Aagab",0.161242351353632,-0.655617054284942,0.255,0.365,0,0.025145044346231,-0.906023851790986,0.173,0.365,0
"Aak1",0.940392626965681,0.00651330695867447,0.157,0.162,0,0.486948075646935,0.393536430067921,0.212,0.162,0
"Aamdc",0.0601952899790366,-2.27032689840015,0,0.068,0,0.814527071308432,-0.298341274569747,0.058,0.068,0
"Aamp",0.354350002129982,0.247521406462469,0.333,0.243,0,0.303524843227037,-0.628489876262077,0.173,0.243,0
"Aanat",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Aar2",0.14985569192709,-1.46297197634255,0,0.041,0,0.662522954406711,0.509013647487858,0.058,0.041,0
"Aard",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Aars",0.536182884737165,-0.337441094258687,0.098,0.135,0,0.976631924982358,0.219507030292872,0.135,0.135,0
"Aarsd1",0.0950007643086226,-1.46297197634255,0.02,0.095,0,0.73456932829952,-0.16905825762478,0.077,0.095,0
"Aasdh",0.33990592728242,-0.784900071229908,0.02,0.054,0,0.935331843862257,0.187085552600495,0.058,0.054,0
"Aasdhppt",0.355073513530036,0.800062429491248,0.098,0.054,0,0.935331843862257,0.187085552600495,0.058,0.054,0
"Aass",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Aatf",0.860754396942761,-0.047934477063702,0.098,0.108,0,0.873485458908004,0.339088646045545,0.115,0.108,0
"Aatk",0.234719747406267,1.53702802365745,0.02,0,0,1,0.509013647487858,0,0,0
"AB124611",0.379102502238834,0.247521406462469,0.314,0.23,0,0.67030060335454,0.1370448701009,0.269,0.23,0
"Abat",1,0.537028023657455,0,0,0,0.239272455655167,1.50901364748786,0.019,0,0
"Abca1",0.80188414174922,0.102625199511679,0.49,0.459,0,0.468836946450255,-0.134842542286867,0.365,0.459,0
"Abca12",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abca13",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abca14",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abca16",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abca17",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abca2",0.33990592728242,-0.784900071229908,0.02,0.054,0,0.610056344177638,0.509013647487858,0.077,0.054,0
"Abca3",0.122873862446827,-0.948398803512788,0.078,0.176,0,0.993992030711094,0.161090344067551,0.173,0.176,0
"Abca4",0.0257589410147927,1.67453154740739,0.157,0.041,0,0.378792174317067,0.994440474658099,0.077,0.041,0
"Abca5",0.060229474172659,-2.0479344770637,0,0.068,0,0.488436593078027,-0.490986352512142,0.038,0.068,0
"Abca6",0.19062807730641,1.27399361782366,0.078,0.027,0,0.238483409109447,-1.0759488532333,0,0.027,0
"Abca7",0.0547790848153948,1.27399361782366,0.216,0.095,0,0.179493086742142,1.03952836418664,0.173,0.095,0
"Abca8a",1,0.537028023657455,0,0,0,0.0925019526938692,2.09397614820901,0.038,0,0
"Abca8b",0.234719747406267,1.53702802365745,0.02,0,0,1,0.509013647487858,0,0,0
"Abca9",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abcb10",0.213119491341747,0.759420444993902,0.118,0.054,0,0.626418508770784,0.245979241654064,0.077,0.054,0
"Abcb11",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abcb1a",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abcb1b",0.799306975728709,0.537028023657455,0.02,0.014,0,0.410989825903103,-0.490986352512142,0,0.014,0
"Abcb4",0.415704379568247,-0.462971976342545,0,0.014,0,0.410989825903103,-0.490986352512142,0,0.014,0
"Abcb6",0.0362827575638506,2.53702802365745,0.059,0,0,0.239272455655167,1.50901364748786,0.019,0,0
"Abcb7",0.761600624495681,-0.173465359147561,0.196,0.216,0,0.882509969417619,0.0395283641866375,0.231,0.216,0
"Abcb8",0.363086353028584,1.12199052437861,0.039,0.014,0,0.810070559827278,0.509013647487858,0.019,0.014,0
"Abcb9",0.659314007294541,0.215099928770092,0.059,0.041,0,0.215996787007677,0.994440474658099,0.096,0.041,0
"Abcc1",0.185974611960549,1.53702802365745,0.078,0.027,0,0.0931010806264333,2.09397614820901,0.096,0.027,0
"Abcc10",0.520513143110629,-0.462971976342545,0.02,0.041,0,0.959102790796611,0.0939761482090145,0.038,0.041,0
"Abcc12",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
