"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"A2m",0.00105440918114116,-4.13308498387194,0,0.001,0,0.884184010454741,0.409131820847723,0.001,0.001,0
"A3galt2",0.4093527691376,0.100970354990086,0.018,0.017,0,0.123462784404185,-0.356215574688306,0.014,0.017,0
"A4galt",0.311195202016953,1.03684001757037,0,0,0,0.372134749522318,1.25712872740267,0,0,0
"AA467197",0.152046682378643,1.62180251829153,0,0,0,0.0287659164985752,2.47952114873912,0.001,0,0
"AA792892",1,0.0368400175703698,0,0,0,0.372134749522318,0.672166226681515,0,0,0
"AA986860",0.529511008998425,-0.216446411711861,0.012,0.013,0,0.275496074145924,0.0749253961819232,0.015,0.013,0
"Aaas",0.715758931211962,-0.0027606857263125,0.062,0.06,0,0.333333803089141,-0.19127752146134,0.057,0.06,0
"Aacs",0.000559550217994108,0.176662987223263,0.114,0.096,0,0.000223119512893161,0.125782863480593,0.114,0.096,0
"Aadacl2",1,0.0368400175703698,0,0,0,0.372134749522318,1.25712872740267,0,0,0
"Aadacl4",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Aagab",0.831913074268469,-0.0566916596298888,0.224,0.22,0,0.407754902609874,-0.0656440367365052,0.229,0.22,0
"Aak1",4.76732270256686e-07,-0.260335643843333,0.353,0.379,-2.1056651635342,1.16574396016862e-07,-0.278902627373556,0.356,0.379,-2.71733654006591
"Aamdc",0.00422698787113674,0.167791409520602,0.08,0.068,0,0.0363857514565916,0.085517349332473,0.077,0.068,0
"Aamp",0.020774569774548,0.0443849471956375,0.152,0.137,0,4.54371430715483e-12,0.278936699951332,0.177,0.137,7.12652869743173
"Aanat",0.0324622675581503,-1.49367469912841,0.001,0.002,0,0.39798280814185,-0.568841872822279,0.002,0.002,0
"Aar2",0.311825166859292,0.108732936052156,0.035,0.032,0,0.592804234382616,0.00876237135771429,0.034,0.032,0
"Aard",0.00316076524688805,1.29059660981615,0.003,0.001,0,0.249113566215873,0.672166226681515,0.002,0.001,0
"Aars",0.0877424300342886,0.00363498356542968,0.266,0.25,0,3.0135346365662e-06,0.110808289858446,0.286,0.25,1.30486352660771
"Aarsd1",0.00485871797121127,0.134882990480217,0.123,0.108,0,3.89935146642555e-16,0.46042653456609,0.15,0.108,11.1929473321718
"Aasdh",0.225792824386141,0.0515615232771358,0.046,0.042,0,0.0531547877050602,0.133614190917318,0.048,0.042,0
"Aasdhppt",0.000206890323284243,0.115205791575549,0.154,0.131,0,0.0489947159958973,0.00464004973971432,0.143,0.131,0
"Aass",0.162646870384782,-1.96315998242963,0,0,0,0.400894707334727,0.672166226681515,0.001,0,0
"Aatf",0.435512766052639,-0.010176608931117,0.058,0.055,0,0.765478207172972,-0.138444936349162,0.054,0.055,0
"Aatk",1.97261545312074e-05,3.45187751684921,0.003,0,0.488897283089741,0.00682041533349017,2.67216622668152,0.002,0,0
"AB124611",0.323553878712171,-1.54812248315079,0,0,0,0.262625106945568,-1.91279627403964,0,0,0
"Abat",0.00854617868407838,1.66910823306988,0.003,0.001,0,0.000467062135677468,2.05067784993525,0.004,0.001,0
"Abca1",8.32756007946619e-07,0.520088095208647,0.045,0.03,1.86342193946999,1.77262464968652e-09,0.566813226535288,0.048,0.03,4.5353229298733
"Abca12",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Abca13",1,0.0368400175703698,0,0,0,0.206848460079155,1.99409432156888,0,0,0
"Abca14",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Abca16",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Abca17",0.305054999713366,1.03684001757037,0,0,0,0.701112599586812,0.257128727402671,0,0,0
"Abca2",0.0720241418473787,-0.244601631070122,0.073,0.08,0,0.000801848565178586,-0.37333646878458,0.067,0.08,0
"Abca3",0.0400321258360976,0.0979886730953514,0.088,0.079,0,0.257539959134293,-0.020486662027722,0.084,0.079,0
"Abca4",0.0399522692837766,0.0352623486585415,0.818,0.79,0,0.00783564696162976,-0.068940965912708,0.805,0.79,0
"Abca5",0.161211752502383,-0.136466589082902,0.121,0.128,0,8.82343217082615e-05,-0.349137286526706,0.11,0.128,0
"Abca6",0.0668294954856261,-1.32573006181434,0.001,0.002,0,0.823533947283344,-0.327833773318483,0.002,0.002,0
"Abca7",3.31646734864774e-05,0.316192269330261,0.049,0.035,0.263263988146343,1.35612611001218e-06,0.35771048685353,0.051,0.035,1.65163963639259
"Abca8a",0.150848748947008,0.708217270108999,0.004,0.003,0,1.18813041666282e-05,1.56113491429277,0.008,0.003,0.709075599922963
"Abca8b",0.675438409704375,-0.378197481708474,0,0,0,0.0180096557238163,2.31602241645624,0.002,0,0
"Abca9",0.311195202016953,1.03684001757037,0,0,0,1,-0.327833773318485,0,0,0
"Abcb10",0.00381149250097876,0.296991914871043,0.048,0.038,0,0.00115664408315564,0.299689189630718,0.048,0.038,0
"Abcb11",0.578728714745346,-0.548122483150786,0,0,0,0.819979651939182,0.0872037259603591,0,0,0
"Abcb1a",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Abcb1b",0.152046682378643,1.62180251829153,0,0,0,0.122092974262929,1.99409432156888,0,0,0
"Abcb4",0.311195202016953,1.62180251829153,0,0,0,0.372134749522318,0.672166226681515,0,0,0
"Abcb6",7.36784892948731e-07,0.453004182303498,0.051,0.035,1.91659900157898,1.41170600967814e-08,0.502522974100736,0.053,0.035,3.63419545055386
"Abcb7",0.00191680415528908,0.171938189974445,0.098,0.083,0,0.00259865606951588,0.139131518004221,0.097,0.083,0
"Abcb8",0.00860761562836516,0.275127761068479,0.036,0.028,0,1.78376321872583e-07,0.552511910934327,0.043,0.028,2.53260250956682
"Abcb9",0.107210802114867,0.435389394060644,0.013,0.01,0,0.227746452364179,0.321259064822388,0.012,0.01,0
"Abcc1",0.0440947377692503,-0.218053855683975,0.097,0.107,0,0.0199685881248521,-0.240453728994385,0.096,0.107,0
"Abcc10",0.558638570930504,-0.0530310127545666,0.078,0.075,0,0.425657463735328,-0.0304279975651904,0.079,0.075,0
"Abcc12",0.311195202016953,1.03684001757037,0,0,0,0.372134749522318,0.672166226681515,0,0,0
"Abcc2",1,0.0368400175703698,0,0,0,0.206848460079155,1.25712872740267,0,0,0
"Abcc3",0.311195202016953,1.03684001757037,0,0,0,1,-0.327833773318485,0,0,0
"Abcc4",0.152046682378643,1.62180251829153,0,0,0,0.0742137048235141,2.67216622668152,0,0,0
"Abcc5",0.0502915473976636,-0.203770871945027,0.2,0.209,0,0.0097448342260461,-0.23125602245733,0.197,0.209,0
"Abcc6",1,0.0368400175703698,0,0,0,0.12209297468061,1.67216622668152,0,0,0
"Abcc8",0.0467190707043994,1.94373061317889,0.001,0,0,0.0266231340679717,1.9200937401251,0.001,0,0
"Abcc9",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Abcd1",0.347968502200404,0.0440355189745745,0.023,0.021,0,0.820463681468737,-0.0708231551124596,0.021,0.021,0
"Abcd2",7.30671223562058e-13,0.601171185519396,0.084,0.054,7.92021771045999,6.46636174261777e-09,0.459737711989567,0.076,0.054,3.97327971772518
"Abcd3",0.00646197733281405,0.180575495031819,0.055,0.046,0,0.0276965558351101,0.13534024700463,0.053,0.046,0
"Abcd4",1.09190024864178e-05,0.449621542908846,0.049,0.035,0.745756749190932,0.00300682888990757,0.223682244309531,0.044,0.035,0
"Abce1",0.0784201383052518,0.0801335283441214,0.091,0.082,0,0.00880761547852937,0.0919729701082321,0.094,0.082,0
"Abcf1",5.41647007381243e-07,0.278400683261505,0.141,0.113,2.05022336608,1.55389420130289e-08,0.276161919565275,0.143,0.113,3.59251826805116
"Abcf2",0.000217755781781517,0.239789206326244,0.1,0.082,0,4.60294496678948e-06,0.2870819495043,0.103,0.082,1.12090393161446
"Abcf3",0.850548829338426,-0.126599284626987,0.1,0.1,0,0.0809084685549323,-0.021140823032042,0.11,0.1,0
"Abcg1",0.270311746437988,-0.00694455073270905,0.156,0.149,0,0.0014801843991409,-0.246969787888176,0.133,0.149,0
"Abcg2",0.0793711204857552,2.03684001757037,0,0,0,0.206848460079155,1.99409432156888,0,0,0
"Abcg3",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Abcg4",0.364781157934485,-0.0543675424518362,0.269,0.257,0,1.33113429320223e-07,0.131797457223786,0.298,0.257,2.65971784203224
"Abcg5",0.152046682378643,1.62180251829153,0,0,0,1,-0.327833773318485,0,0,0
"Abcg8",1,0.0368400175703698,0,0,0,1,-0.327833773318485,0,0,0
"Abhd10",0.279233171642849,0.0163982199563635,0.106,0.1,0,0.164660023075843,0.0139425457666738,0.107,0.1,0
"Abhd11",0.410550251728419,-0.148253862343102,0.1,0.103,0,0.446826961632642,-0.146828610931962,0.1,0.103,0
