"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"A2m",0.000233227691182144,-3.04346364848396,0.002,0.037,0,0.409692616345719,-0.65303561654912,0.025,0.037,0
"A3galt2",0.323334209077102,-0.7215355535966,0.015,0.027,0,0.129739543208234,-1.10871510032531,0.011,0.027,0
"A4galt",0.808343274186168,-0.306498054317756,0.009,0.011,0,0.0249278666346282,-2.91607002238291,0,0.011,0
"AA467197",1,-1.30649805431776,0,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"AA792892",1,-1.30649805431776,0,0,0,0.530598125263707,0.253854979059398,0.002,0,0
"AA986860",0.270873704387373,0.693501945682244,0.006,0,0,0.15780405345493,1.2538549790594,0.011,0,0
"Aaas",0.521364324200021,0.234070327044947,0.067,0.053,0,0.836063840445551,0.116351455309463,0.057,0.053,0
"Aacs",0.509875962147885,0.210560381901596,0.163,0.144,0,0.656719549969869,0.150761486095295,0.156,0.144,0
"Aadacl2",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Aadacl4",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Aagab",0.773779783482937,-0.11746422992774,0.206,0.218,0,0.346219892221786,0.214860847443535,0.247,0.218,0
"Aak1",0.570855362990291,-0.00951631656062479,0.465,0.42,0,0.914183594731615,0.00449551012268123,0.425,0.42,0
"Aamdc",0.522496297234168,0.302311188357768,0.112,0.096,0,0.334876149912425,-0.193603997911823,0.072,0.096,0
"Aamp",0.444489786663281,0.12646135295835,0.265,0.234,0,0.171355826235808,0.373764442794595,0.281,0.234,0
"Aanat",0.123569722797127,-1.30649805431776,0.004,0.016,0,0.240557321267486,-1.33110752166176,0.006,0.016,0
"Aar2",0.421214488323916,-0.458501147762806,0.034,0.048,0,0.0638653713505128,-1.19360399791182,0.021,0.048,0
"Aard",0.527083349334328,-0.306498054317756,0.002,0,0,0.121436438028748,1.66889247833824,0.013,0,0
"Aars",0.163493065765136,-0.337748988302196,0.26,0.309,0,0.0960704298549277,-0.300519201828335,0.245,0.309,0
"Aarsd1",0.157361120235977,0.462176399575787,0.183,0.138,0,0.51416581320457,0.42179961637347,0.154,0.138,0
"Aasdh",0.602427213884198,0.229554845922453,0.058,0.048,0,0.675009906842119,-0.0680731158279642,0.04,0.048,0
"Aasdhppt",0.467225982715673,-0.25758845383681,0.123,0.144,0,0.127190058271356,-0.488648798648238,0.101,0.144,0
"Aass",0.116572494009861,-2.30649805431776,0,0.005,0,0.113461687193033,-2.33110752166176,0,0.005,0
"Aatf",0.0992544773715427,-0.952861099703056,0.047,0.08,0,0.374117524246317,-0.594141927495552,0.061,0.08,0
"Aatk",0.0565055996106707,0.324268136016525,0.335,0.255,0,0.442483165778071,-0.166362759325126,0.226,0.255,0
"AB124611",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abat",0.0834430283686903,0.459036692045221,0.155,0.101,0,0.330011461216869,0.112499129813857,0.131,0.101,0
"Abca1",0.285962361020361,0.208075118512002,0.077,0.053,0,0.265580433861882,0.287802310982736,0.078,0.053,0
"Abca12",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abca13",1,-1.30649805431776,0,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"Abca14",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abca16",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abca17",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Abca2",0.95987375825788,-0.217493048259012,0.226,0.218,0,0.216422498286007,-0.527504734465261,0.18,0.218,0
"Abca3",0.516926251185043,-0.369691880804951,0.138,0.154,0,0.104825375747158,-0.627500524441983,0.11,0.154,0
"Abca4",0.216465902789001,0.0900193569902894,0.563,0.484,0,0.38509222429933,0.125644996779658,0.512,0.484,0
"Abca5",0.557138399143095,-0.283414441204715,0.127,0.144,0,0.0762206050311981,-0.530416329885164,0.095,0.144,0
"Abca6",0.868072254314019,-0.306498054317756,0.006,0.005,0,0.500348103037965,-1.33110752166176,0.002,0.005,0
"Abca7",0.0674759224959542,1.05607202506695,0.069,0.032,0,0.243792611114843,0.815733866667513,0.053,0.032,0
"Abca8a",0.496455342539227,0.2784644464034,0.073,0.059,0,0.197206247699094,-0.746145020940601,0.036,0.059,0
"Abca8b",0.0752349018236207,-0.934529276930798,0.041,0.074,0,0.0155291749850789,-1.24864536146978,0.032,0.074,0
"Abca9",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abcb10",0.0866283563009007,0.863426947124556,0.073,0.037,0,0.294164832010244,0.575783073946761,0.057,0.037,0
"Abcb11",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abcb1a",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abcb1b",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abcb4",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Abcb6",0.855324669084402,-0.247604365264188,0.052,0.048,0,0.511354718993657,0.0381262880039612,0.061,0.048,0
"Abcb7",0.610886532434921,0.196002286211427,0.103,0.09,0,0.546997058578873,-0.253105009660485,0.076,0.09,0
"Abcb8",0.583065085494366,-0.24236771689804,0.043,0.053,0,0.923591105562431,0.0168157817585488,0.055,0.053,0
"Abcb9",0.157910983645569,0.409708979681652,0.045,0.021,0,0.56912344076583,-0.231571848110844,0.03,0.021,0
"Abcc1",0.278406607738261,-0.7215355535966,0.097,0.122,0,0.0383209666256406,-1.08318000821817,0.074,0.122,0
"Abcc10",0.605938782654138,0.160627956109542,0.092,0.08,0,0.704182701943043,0.13601848876554,0.089,0.08,0
"Abcc12",1,-1.30649805431776,0,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"Abcc2",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abcc3",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Abcc4",0.50888554753872,-1.30649805431776,0.002,0.005,0,0.500348103037965,-1.33110752166176,0.002,0.005,0
"Abcc5",0.955553076118264,-0.110100841514253,0.434,0.426,0,0.505936989506323,-0.210092120700392,0.408,0.426,0
"Abcc6",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Abcc8",0.862446821270835,-0.191020836897821,0.052,0.048,0,0.964166858986226,-0.00917942677439587,0.049,0.048,0
"Abcc9",0.116572494009861,-2.89146055503891,0,0.005,0,0.113461687193033,-2.91607002238291,0,0.005,0
